id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,not_detected,周囲の安全確認に関する発言が検出されない。,[],[]
3,感染防御,not_detected,感染防御に関する発言が検出されない。,[],[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 27, ""end"": 39}]",[]
6,119番通報の指示,met,他者に119番通報を具体的に指示している。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 39, ""end"": 55}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 55, ""end"": 71}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻るよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 71, ""end"": 86}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 9, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 86, ""end"": 99}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 118}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 9, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 100, ""end"": 108}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 118}]",[]
11,胸骨圧迫の数唱,met,ショック前に胸骨圧迫の回数を数唱している。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 128, ""end"": 191}]",[]
12,AED使用能力の確認,met,AED持参者に使えるかどうか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あ、あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 202, ""end"": 216}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 242, ""end"": 256}]",[]
14,合図による交代,met,1、2、3の合図で胸骨圧迫の交代を行っている。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 256, ""end"": 270}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 270, ""end"": 276}]",[]
15,ショック前の離隔指示,met,ショック実行前に周囲に離れるよう指示している。,"[{""segment_id"": 19, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 276, ""end"": 284}, {""segment_id"": 20, ""quote"": ""一旦離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 284, ""end"": 294}, {""segment_id"": 24, ""quote"": ""みんな離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 318, ""end"": 327}]",[]
16,ショック後の数唱,uncertain,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 27, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 340, ""end"": 403}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 28, ""quote"": ""あ、救急隊の方、この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 403, ""end"": 434}, {""segment_id"": 29, ""quote"": ""えっと、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 434, ""end"": 474}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を知らせている。,"[{""segment_id"": 30, ""quote"": ""この方の荷物はこの足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 495, ""end"": 512}]",[]
