id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,not_detected,周囲の安全確認に関する発言が検出されない。,[],[]
3,感染防御,not_detected,感染防御に関する発言が検出されない。,[],[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 27, ""end"": 42}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 58}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 58, ""end"": 74}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 74, ""end"": 89}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことの発言がある。,"[{""segment_id"": 9, ""quote"": ""胸とおなかを見て呼吸の確認、同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 89, ""end"": 111}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 111, ""end"": 121}]",[]
10,脈の確認,met,脈の確認および脈がないことの発言がある。,"[{""segment_id"": 9, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 103, ""end"": 111}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 111, ""end"": 121}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 131, ""end"": 194}]",[]
12,AED使用能力の確認,met,AED持参者にAEDを使えるか確認している。,"[{""segment_id"": 14, ""quote"": ""あ、あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 205, ""end"": 219}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 252, ""end"": 266}]",[]
14,合図による交代,met,掛け声の合図で胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 266, ""end"": 280}, {""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 280, ""end"": 286}]",[]
15,ショック前の離隔指示,uncertain,ショック前の離隔指示と思われる発言があるが、機器音声案内が続く箇所であり発言者を参加者と断定できない。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 436, ""end"": 444}]",[]
16,ショック後の数唱,met,ショック終了後に胸骨圧迫の回数を数唱している。,"[{""segment_id"": 38, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 482, ""end"": 545}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 40, ""quote"": ""この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 553, ""end"": 576}, {""segment_id"": 41, ""quote"": ""えっと、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 576, ""end"": 616}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を知らせている。,"[{""segment_id"": 42, ""quote"": ""荷物はこの足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 646, ""end"": 659}]",[]
