id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に対して大丈夫ですかと呼びかけ、反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 58}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた、119番通報をお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 58, ""end"": 76}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 76, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,not_detected,呼吸の確認に関する発言が検出されない。,[],[]
10,脈の確認,not_detected,脈の確認に関する発言が検出されない。,[],[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 109, ""end"": 172}]",[]
12,AED使用能力の確認,met,AEDを持参した人に使えるかどうか能力を確認している。,"[{""segment_id"": 13, ""quote"": ""あなた、AED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 183, ""end"": 196}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の位置を変わるよう交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""胸骨圧迫、位置を変わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 230, ""end"": 247}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 250, ""end"": 256}]",[]
15,ショック前の離隔指示,uncertain,充電中や離隔指示のアナウンスが続く箇所であり、発話者が参加者か機器か断定できない。,"[{""segment_id"": 31, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 400, ""end"": 408}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 465, ""end"": 528}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者の発見状況や実施した処置などの経緯を説明している。,"[{""segment_id"": 38, ""quote"": ""救急隊の方、この方を3分前に倒れるところを目の前で見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 528, ""end"": 558}, {""segment_id"": 39, ""quote"": ""胸骨圧迫をしてAEDで1回ショックをしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 558, ""end"": 595}]",[]
18,荷物の存在を知らせる,met,傷病者の荷物が足元にあることを知らせている。,"[{""segment_id"": 40, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 612, ""end"": 627}]",[]
