id,name,status,reason,evidence,warnings
1,傷病者発見,not_detected,開始時などに傷病者を発見したことを示す発言が検出されないため。,[],[]
2,周囲の安全,met,周囲の安全確認を明確に発言しているため。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 8}]",[]
3,感染防御,met,感染防御の確認を発言しているため。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 16, ""end"": 23}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認しているため。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 23, ""end"": 30}]",[]
5,応援を呼ぶ,met,周囲に応援を求めているため。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 44, ""end"": 56}]",[]
6,119番通報の指示,met,他者へ119番通報を指示しているため。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 56, ""end"": 72}]",[]
7,AED持参の指示,met,他者へAEDを持ってくるよう指示しているため。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 72, ""end"": 88}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示しているため。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 88, ""end"": 103}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言しているため。,"[{""segment_id"": 11, ""quote"": ""胸と御顔を見て呼吸の確認、脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 103, ""end"": 121}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 131}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言しているため。,"[{""segment_id"": 11, ""quote"": ""胸と御顔を見て呼吸の確認、脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 103, ""end"": 121}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 131}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱しているため。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 141, ""end"": 204}]",[]
12,AED使用能力の確認,met,持参者にAEDを使えるか確認しているため。,"[{""segment_id"": 17, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 226, ""end"": 238}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼しているため。,"[{""segment_id"": 20, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 265, ""end"": 279}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代しているため。,"[{""segment_id"": 21, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 279, ""end"": 293}, {""segment_id"": 22, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 293, ""end"": 299}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲へ離れるよう指示しているため。,"[{""segment_id"": 32, ""quote"": ""はい、離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 422, ""end"": 433}, {""segment_id"": 33, ""quote"": ""体から離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 433, ""end"": 444}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っているため。,"[{""segment_id"": 42, ""quote"": ""1、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 530, ""end"": 572}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明しているため。,"[{""segment_id"": 43, ""quote"": ""あ、救急隊の方、この方が3分前に目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 572, ""end"": 602}, {""segment_id"": 44, ""quote"": ""胸骨圧迫とAEDで1回ショックしましたが、意識はまだ戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 602, ""end"": 636}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を伝えているため。,"[{""segment_id"": 45, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 636, ""end"": 651}]",[]
