id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を行った旨を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 57}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 89}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 89, ""end"": 104}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 11, ""quote"": ""胸と顔を見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 104, ""end"": 116}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 116, ""end"": 124}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始後に回数を数唱している。,"[{""segment_id"": 15, ""quote"": ""123456789101112131415161718192021222324252627282930"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 143, ""end"": 194}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか能力を確認している。,"[{""segment_id"": 15, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 194, ""end"": 206}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""123で胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 223, ""end"": 241}]",[]
14,合図による交代,met,指定した合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""123"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 241, ""end"": 244}]",[]
15,ショック前の離隔指示,uncertain,離隔を促す発言はあるが、機器の案内が続く箇所であり参加者による指示か断定できない。,"[{""segment_id"": 30, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 396, ""end"": 404}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 40, ""quote"": ""123456789101112131415161718192021222324252627282930"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 506, ""end"": 557}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 40, ""quote"": ""救急隊の方、この人が目の前で3分前に倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 557, ""end"": 585}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで傷病者の荷物の位置を伝えている。,"[{""segment_id"": 42, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 637, ""end"": 652}]",[]
