id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 55}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなたは119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 55, ""end"": 72}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 72, ""end"": 88}]",[]
8,戻るよう指示,met,依頼相手に必ず現場（ここ）へ戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 88, ""end"": 103}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことの発言がある。,"[{""segment_id"": 11, ""quote"": ""目の前で顔を見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 103, ""end"": 117}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 125, ""end"": 135}]",[]
10,脈の確認,met,脈の確認および脈がないことの発言がある。,"[{""segment_id"": 12, ""quote"": ""同時に脈も確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 117, ""end"": 125}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 125, ""end"": 135}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の開始とともに回数を数唱している。,"[{""segment_id"": 15, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、20、3、2、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 145, ""end"": 206}]",[]
12,AED使用能力の確認,met,持参者にAEDを使えるか能力を確認している。,"[{""segment_id"": 17, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 218, ""end"": 230}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 21, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 255, ""end"": 272}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 22, ""quote"": ""1、2、3で代わります。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 272, ""end"": 284}, {""segment_id"": 23, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 284, ""end"": 290}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲へ離れるよう指示し、後続してショックが実行されている。,"[{""segment_id"": 35, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 434, ""end"": 442}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 42, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、20、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 492, ""end"": 555}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 43, ""quote"": ""あ、救急隊の方、え、この方が3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 555, ""end"": 589}, {""segment_id"": 44, ""quote"": ""え、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 589, ""end"": 627}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで足元にある傷病者の荷物の存在を伝えている。,"[{""segment_id"": 45, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 642, ""end"": 657}]",[]
