id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者への呼びかけにより反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か誰か誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 59}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 59, ""end"": 75}]",[]
7,AED持参の指示,met,他者に対してAEDを持参するよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 75, ""end"": 91}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 91, ""end"": 106}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの評価を発言している。,"[{""segment_id"": 10, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 106, ""end"": 119}]",[]
10,脈の確認,met,脈の確認および脈なしの評価を発言している。,"[{""segment_id"": 10, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 120, ""end"": 128}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の数唱を行っている。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 148, ""end"": 211}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか能力の確認を行っている。,"[{""segment_id"": 15, ""quote"": ""えー、あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 224, ""end"": 239}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 262, ""end"": 276}]",[]
14,合図による交代,met,合図を用いて胸骨圧迫の交代を行っている。,"[{""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 292, ""end"": 298}]",[]
15,ショック前の離隔指示,uncertain,離隔指示の発言があるものの、AEDの自動音声案内が続く箇所であり参加者の発言と断定できない。,"[{""segment_id"": 29, ""quote"": ""体から離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 417, ""end"": 428}]",[]
16,ショック後の数唱,uncertain,数唱は行われているが、先行するショック完了の明確な証拠が確認できない。,"[{""segment_id"": 36, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 481, ""end"": 544}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯や実施した処置を説明している。,"[{""segment_id"": 38, ""quote"": ""えー、この方、えー、3分前に、えー、目の前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 552, ""end"": 586}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を伝えている。,"[{""segment_id"": 41, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 640, ""end"": 655}]",[]
