id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を宣言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の確認を宣言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 42, ""end"": 57}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 73, ""end"": 90}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしという結果を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 105, ""end"": 118}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 132, ""end"": 142}]",[]
10,脈の確認,met,脈の確認および脈なしという結果を発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 119, ""end"": 127}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 132, ""end"": 142}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 152, ""end"": 180}]",[]
12,AED使用能力の確認,uncertain,「AED使いました？」と発言しており、能力確認である「使えるか」を尋ねているのか意味が曖昧である。,"[{""segment_id"": 14, ""quote"": ""あなたAED使いました？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 180, ""end"": 192}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 199, ""end"": 216}]",[]
14,合図による交代,met,合図を示して交代を行っている。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 216, ""end"": 230}, {""segment_id"": 18, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 230, ""end"": 235}]",[]
15,ショック前の離隔指示,met,ショック前に周囲へ離れるよう指示している。,"[{""segment_id"": 30, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 381, ""end"": 389}]",[]
16,ショック後の数唱,uncertain,ショック後の数唱はあるが、先行するショック完了（shock_complete）の明確な根拠が存在せず終了時点が不明である。,"[{""segment_id"": 36, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 427, ""end"": 489}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時間やAEDショック等の経緯を説明している。,"[{""segment_id"": 37, ""quote"": ""ええと、この人が、ええ、2分前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 500, ""end"": 528}, {""segment_id"": 38, ""quote"": ""ええと、AEDで1回ショックをして、まだ、ええと、意識ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 528, ""end"": 561}]",[]
18,荷物の存在を知らせる,not_detected,救急隊に対して荷物の存在を知らせる発言は確認できない。,[],[]
