id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に対して大丈夫ですかと呼びかけ反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,誰か来てくださいと周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 77}]",[]
7,AED持参の指示,met,他者に対してAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 93}]",[]
8,戻るよう指示,met,依頼相手に戻るよう明確に指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 93, ""end"": 108}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸がないことを確認している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 121}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 130, ""end"": 140}]",[]
10,脈の確認,met,脈の確認を行い、脈がないことを確認している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 122, ""end"": 130}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 130, ""end"": 140}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の開始時に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 150, ""end"": 213}]",[]
12,AED使用能力の確認,met,持参者に対してAEDを使えるかどうか能力を確認している。,"[{""segment_id"": 17, ""quote"": ""えー、あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 236, ""end"": 251}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫を代わるよう依頼している。,"[{""segment_id"": 20, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 281, ""end"": 295}]",[]
14,合図による交代,met,合図を示して胸骨圧迫の交代を行っている。,"[{""segment_id"": 21, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 295, ""end"": 309}, {""segment_id"": 22, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 309, ""end"": 315}]",[]
15,ショック前の離隔指示,met,参加者が離れているか周囲を確認し離隔指示を行っているが、直後にショック実行・完了の発言や動作完了が示されず数唱に移っており、ショック実行/完了が確定できない。,"[{""segment_id"": 34, ""quote"": ""私は離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 457, ""end"": 465}, {""segment_id"": 35, ""quote"": ""あなたは離れています。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 465, ""end"": 476}, {""segment_id"": 36, ""quote"": ""みんな離れています。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 476, ""end"": 486}]",[]
16,ショック後の数唱,uncertain,数唱は存在するが、直前にAEDによる「ショックボタンを押してください」という指示音声があるのみでショック実行・完了の確認がなく、ショック終了後か判断が不確実である。,"[{""segment_id"": 41, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 535, ""end"": 598}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時間や行なった処置などの経緯を説明している。,"[{""segment_id"": 43, ""quote"": ""あ、救急隊の方。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 618, ""end"": 626}, {""segment_id"": 44, ""quote"": ""えー、この方、えー、3分前に、えー、目の前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 626, ""end"": 660}, {""segment_id"": 45, ""quote"": ""えー、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 660, ""end"": 699}]",[]
18,荷物の存在を知らせる,met,救急隊に引き継ぐ想定で傷病者の荷物の位置を知らせている。,"[{""segment_id"": 47, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 714, ""end"": 729}]",[]
