id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見、"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし、"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の確認を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に大丈夫ですかと呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 42}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 3, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 54}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 4, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 54, ""end"": 70}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 5, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 70, ""end"": 87}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻るよう指示している。,"[{""segment_id"": 6, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 87, ""end"": 102}]",[]
9,呼吸の確認,met,呼吸の確認を発言し、呼吸なしという所見も確認している。,"[{""segment_id"": 7, ""quote"": ""胸とみぞおちを見て呼吸の確認、"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 102, ""end"": 117}]",[]
10,脈の確認,met,脈の確認を発言し、脈なしという所見も確認している。,"[{""segment_id"": 7, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 117, ""end"": 125}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に1から30まで数唱を行っている。,"[{""segment_id"": 10, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 145, ""end"": 226}]",[]
12,AED使用能力の確認,met,AED持参者にAEDが使えるか確認している。,"[{""segment_id"": 13, ""quote"": ""あなたAED使えますか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 248, ""end"": 260}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 294, ""end"": 308}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 308, ""end"": 322}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 322, ""end"": 328}]",[]
15,ショック前の離隔指示,uncertain,機器の案内音声が続く箇所の離隔指示であり、発話者が参加者か機器か断定できないため。,"[{""segment_id"": 26, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 426, ""end"": 434}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 32, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 483, ""end"": 564}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 34, ""quote"": ""あ、救急隊の方、この方、3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 585, ""end"": 617}, {""segment_id"": 35, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 617, ""end"": 653}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎの中で傷病者の荷物が足元にあることを知らせている。,"[{""segment_id"": 36, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 668, ""end"": 683}]",[]
