id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 13, ""end"": 24}]",[]
4,反応の確認,met,傷病者へ呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 24, ""end"": 31}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 8, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 51, ""end"": 63}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 9, ""quote"": ""119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 80, ""end"": 93}]",[]
7,AED持参の指示,met,他者にAEDの持参を指示している。,"[{""segment_id"": 10, ""quote"": ""AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 105, ""end"": 119}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻るよう指示している。,"[{""segment_id"": 11, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 119, ""end"": 134}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸なしの結果を発言している。,"[{""segment_id"": 13, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 146, ""end"": 160}]",[]
10,脈の確認,met,頸動脈の触知による脈の確認を行い、脈なしの結果を発言している。,"[{""segment_id"": 14, ""quote"": ""同時に頸動脈を触知して、えー、脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 160, ""end"": 180}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 18, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 207, ""end"": 270}]",[]
12,AED使用能力の確認,met,AED持参者にAEDが使えるか確認している。,"[{""segment_id"": 21, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 292, ""end"": 304}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 24, ""quote"": ""胸骨圧迫を私の代わりに行ってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 337, ""end"": 356}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 25, ""quote"": ""1、2、3で交代します。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 359, ""end"": 371}, {""segment_id"": 26, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 373, ""end"": 379}]",[]
15,ショック前の離隔指示,uncertain,ショック実行前に離れるよう指示している。,"[{""segment_id"": 41, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 543, ""end"": 551}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,not_detected,ショック完了後に胸骨圧迫の数唱が検出されない。,[],[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 47, ""quote"": ""3分前に目の前で倒れるところを目撃しました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 628, ""end"": 650}, {""segment_id"": 48, ""quote"": ""胸骨圧迫を行って、AEDで今1回ショックしたんですけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 654, ""end"": 696}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の置き場所を伝えている。,"[{""segment_id"": 49, ""quote"": ""この方の荷物はこの足元に置いてあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 714, ""end"": 734}]",[]
