id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全確認を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御の確認を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 20}]",[]
4,反応の確認,met,傷病者へ呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 41}]",[]
5,応援を呼ぶ,met,周囲に応援を求めて来てもらうよう発言している。,"[{""segment_id"": 4, ""quote"": ""手袋の方、手袋来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 55}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 5, ""quote"": ""あなた、119番通報お願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 56, ""end"": 72}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 6, ""quote"": ""あなた、AEDを持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 90}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに、戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 91, ""end"": 106}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの結果を発言している。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 115, ""end"": 120}]",[]
10,脈の確認,met,脈の確認および脈なしの結果を発言している。,"[{""segment_id"": 8, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 128}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 149, ""end"": 211}]",[]
12,AED使用能力の確認,met,相手にAEDが使えるかどうか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなた、AED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 233, ""end"": 245}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 260, ""end"": 273}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 16, ""quote"": ""1、2、3で代わりましょう"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 274, ""end"": 287}, {""segment_id"": 17, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 288, ""end"": 293}]",[]
15,ショック前の離隔指示,uncertain,充電中前後の「離れてください」は機器音声の可能性があり、参加者自身の指示か断定できない。,"[{""segment_id"": 28, ""quote"": ""離れてください"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 425, ""end"": 432}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 36, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 498, ""end"": 560}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や実施した処置の経緯を説明している。,"[{""segment_id"": 37, ""quote"": ""あ、救急隊の方、この方、3分前に目の前で倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 561, ""end"": 592}, {""segment_id"": 38, ""quote"": ""胸骨圧迫をしてAED 1回ショックしましたが、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 593, ""end"": 628}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで傷病者の荷物の存在を知らせている。,"[{""segment_id"": 39, ""quote"": ""この方の荷物、足元にありますのでよろしくお願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 646, ""end"": 672}]",[]
