id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 46}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 6, ""quote"": ""あなたに119番通報をお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 79}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あと、ええ、あなたAEDも持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 79, ""end"": 102}]",[]
8,戻るよう指示,not_detected,依頼した相手に現場へ戻るよう指示する発言が検出されないため。,[],[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを発言している。,"[{""segment_id"": 9, ""quote"": ""胸とみぞおちを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 117, ""end"": 131}]",[]
10,脈の確認,met,脈の確認および脈がないことを発言している。,"[{""segment_id"": 9, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 140}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 160, ""end"": 241}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認している。,"[{""segment_id"": 14, ""quote"": ""ええと、あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 252, ""end"": 268}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ、胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 275, ""end"": 293}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 307, ""end"": 313}]",[]
15,ショック前の離隔指示,uncertain,機器の音声案内が続く箇所の離隔指示であり、参加者の発言と断定できないため。,"[{""segment_id"": 29, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 455, ""end"": 463}]",[]
16,ショック後の数唱,not_detected,ショック完了後に胸骨圧迫の数唱を行う発言が検出されないため。,[],[]
17,救急隊への経緯説明,met,救急隊に倒れた状況やAEDショック等の経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""ええと、3分前にこの人が目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 566, ""end"": 594}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を知らせている。,"[{""segment_id"": 41, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 656, ""end"": 671}]",[]
