id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を宣言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の確認を宣言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 42, ""end"": 48}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 62, ""end"": 78}]",[]
7,AED持参の指示,met,他者にAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 78, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,met,呼吸の確認を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とみぞおちを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 109, ""end"": 124}]",[]
10,脈の確認,met,脈の確認を発言している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 124, ""end"": 132}]",[]
11,胸骨圧迫の数唱,met,ショック前に胸骨圧迫の回数を数えている。,"[{""segment_id"": 15, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 151, ""end"": 184}]",[]
12,AED使用能力の確認,not_detected,使いますかという使用意思の確認は行われているが、AEDを使えるかという能力確認は行われていない。,[],[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 19, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 236, ""end"": 250}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 21, ""quote"": ""123"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 253, ""end"": 256}]",[]
15,ショック前の離隔指示,met,ショック前に他者へ離れるよう指示している。,"[{""segment_id"": 35, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 413, ""end"": 421}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 44, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 511, ""end"": 544}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や経緯を説明している。,"[{""segment_id"": 44, ""quote"": ""あ、救急隊の方、この人が目の前で3分前に倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 544, ""end"": 574}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の位置を伝えている。,"[{""segment_id"": 46, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 626, ""end"": 641}]",[]
