id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全確認を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,手袋による感染防御を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御、手袋"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 22, ""end"": 42}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 43, ""end"": 51}]",[]
6,119番通報の指示,not_detected,「119番通報、救急車」と単語のみの発言で指示の表現になっていない。,[],[]
7,AED持参の指示,not_detected,「AED」と単語のみの発言で、持ってきてほしいという指示表現になっていない。,[],[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 6, ""quote"": ""必ず戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 67, ""end"": 78}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしという結果を発言している。,"[{""segment_id"": 7, ""quote"": ""呼吸の確認、呼吸なし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 79, ""end"": 89}]",[]
10,脈の確認,met,脈の確認および脈なしという結果を発言している。,"[{""segment_id"": 8, ""quote"": ""脈の確認、脈なし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 98}]",[]
11,胸骨圧迫の数唱,not_detected,ショック前に胸骨圧迫の回数を数える数唱が検出されない。,[],[]
12,AED使用能力の確認,met,持参者にAEDが使えるか能力を確認している。,"[{""segment_id"": 24, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 191, ""end"": 202}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 25, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 220, ""end"": 233}]",[]
14,合図による交代,met,「123で代わりましょう」「123」と合図を出して交代している。,"[{""segment_id"": 26, ""quote"": ""123で代わりましょう"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 234, ""end"": 245}, {""segment_id"": 27, ""quote"": ""123"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 246, ""end"": 249}]",[]
15,ショック前の離隔指示,uncertain,参加者がショック前に離れていることを確認・指示し、その後にショックが実行されている。,"[{""segment_id"": 39, ""quote"": ""私は離れてます"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 389, ""end"": 396}, {""segment_id"": 40, ""quote"": ""あなたは離れてます"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 397, ""end"": 406}, {""segment_id"": 41, ""quote"": ""みんな離れてます"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 407, ""end"": 415}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の回数を数唱している。,"[{""segment_id"": 45, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 447, ""end"": 480}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯やこれまでの処置を説明している。,"[{""segment_id"": 45, ""quote"": ""あ、救急隊の方"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 480, ""end"": 487}, {""segment_id"": 46, ""quote"": ""この方、ええと3分前に目の前で倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 488, ""end"": 514}, {""segment_id"": 47, ""quote"": ""胸骨圧迫をしてAED 1回ショックしましたが、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 518, ""end"": 553}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を知らせている。,"[{""segment_id"": 48, ""quote"": ""この方の荷物その足元にありますのでよろしくお願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 574, ""end"": 601}]",[]
