id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報をお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 78}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDも持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 84, ""end"": 101}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 101, ""end"": 116}]",[]
9,呼吸の確認,met,呼吸確認の発言および呼吸がないことの結果を述べている。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 128}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 137, ""end"": 147}]",[]
10,脈の確認,met,脈確認の発言および脈がないことの結果を述べている。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 136}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 137, ""end"": 147}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 158, ""end"": 239}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 256, ""end"": 268}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 279, ""end"": 293}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 293, ""end"": 307}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 307, ""end"": 313}]",[]
15,ショック前の離隔指示,not_detected,参加者がショック前に他者へ離れるよう指示した発言は検出されない（確認報告のみ）。,[],[]
16,ショック後の数唱,not_detected,ショック完了後に胸骨圧迫の回数を数唱する発言が検出されない。,[],[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 42, ""quote"": ""3分前にこの人が目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 570, ""end"": 594}, {""segment_id"": 43, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたけど、まだ意識戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 605, ""end"": 641}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を伝えている。,"[{""segment_id"": 44, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 656, ""end"": 671}]",[]
