id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防護への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防護に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 13, ""end"": 24}]",[]
4,反応の確認,met,傷病者に声をかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 24, ""end"": 31}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた、119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 60, ""end"": 77}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 95}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 95, ""end"": 110}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを発言している。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 123}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 142}]",[]
10,脈の確認,met,脈の確認および脈がないことを発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 124, ""end"": 132}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 142}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10、1、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 153, ""end"": 223}]",[]
12,AED使用能力の確認,met,持参者にAEDを使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなた、AED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 223, ""end"": 236}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""あ、じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 236, ""end"": 255}]",[]
14,合図による交代,met,合図を出して胸骨圧迫の交代を行っている。,"[{""segment_id"": 16, ""quote"": ""えっと、1、2の3で代わってください。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 255, ""end"": 274}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 280, ""end"": 286}]",[]
15,ショック前の離隔指示,met,ショック実行前に周囲に離れるよう明確に指示している。,"[{""segment_id"": 32, ""quote"": ""あなたも離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 443, ""end"": 455}, {""segment_id"": 33, ""quote"": ""みんな離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 455, ""end"": 466}]",[]
16,ショック後の数唱,uncertain,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 490, ""end"": 530}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""この方が3分前に倒れて、倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 541, ""end"": 565}, {""segment_id"": 40, ""quote"": ""えっと、胸骨圧迫をしてAEDで1回ショックをしましたけど、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 565, ""end"": 607}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで荷物の存在を知らせている。,"[{""segment_id"": 41, ""quote"": ""この人の身元は分かりませんが、そこに荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 607, ""end"": 633}]",[]
