id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を明確に発言している。,"[{""segment_id"": 2, ""quote"": ""周囲安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防護への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防護に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 13, ""end"": 24}]",[]
4,反応の確認,met,傷病者への呼びかけを行い反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 24, ""end"": 31}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者へ119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた、119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 60, ""end"": 77}]",[]
7,AED持参の指示,met,他者へAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 77, ""end"": 95}]",[]
8,戻るよう指示,met,依頼相手に戻るよう明確に指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 95, ""end"": 110}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことの結果を発言している。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 118, ""end"": 123}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 132, ""end"": 142}]",[]
10,脈の確認,met,脈の確認および脈がないことの結果を発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 124, ""end"": 132}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 132, ""end"": 142}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10、1、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 153, ""end"": 223}]",[]
12,AED使用能力の確認,met,AEDを持参した相手に使用可能か能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなた、AED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 223, ""end"": 236}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""あ、じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 236, ""end"": 255}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 16, ""quote"": ""えっと、1、2の3で代わってください。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 255, ""end"": 274}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 280, ""end"": 286}]",[]
15,ショック前の離隔指示,met,ショック前に周囲に離れるよう指示し、その後にショックが実行されている。,"[{""segment_id"": 32, ""quote"": ""あなたも離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 443, ""end"": 455}, {""segment_id"": 33, ""quote"": ""みんな離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 455, ""end"": 466}]",[]
16,ショック後の数唱,uncertain,ショック実行後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 490, ""end"": 530}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や処置の経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""この方が3分前に倒れて、倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 541, ""end"": 565}, {""segment_id"": 40, ""quote"": ""えっと、胸骨圧迫をしてAEDで1回ショックをしましたけど、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 565, ""end"": 607}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を伝えている。,"[{""segment_id"": 41, ""quote"": ""この人の身元は分かりませんが、そこに荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 607, ""end"": 633}]",[]
