id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 20}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 27}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 48, ""end"": 56}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番通報をお願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAEDを持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 74, ""end"": 90}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 91, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認および結果（なし）を発言している。,"[{""segment_id"": 10, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 114, ""end"": 119}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 128, ""end"": 137}]",[]
10,脈の確認,met,脈の確認および結果（なし）を発言している。,"[{""segment_id"": 10, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 127}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 128, ""end"": 137}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の数唱を行っている。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 148, ""end"": 210}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか能力を確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 233, ""end"": 244}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 263, ""end"": 276}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 20, ""quote"": ""1、2の3で代わりましょう"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 280, ""end"": 293}, {""segment_id"": 21, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 294, ""end"": 299}]",[]
15,ショック前の離隔指示,uncertain,ショック前の離隔指示の発話者がAEDの機器音声か参加者か判別できないため。,"[{""segment_id"": 32, ""quote"": ""離れてください"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 434, ""end"": 441}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 38, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 488, ""end"": 550}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者の経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""あ、救急隊の方、えっと、この方3分以内に寝る前で倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 551, ""end"": 586}, {""segment_id"": 40, ""quote"": ""え、胸骨圧迫をしてAEDで1回ショックをしましたけども、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 587, ""end"": 627}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を伝えている。,"[{""segment_id"": 41, ""quote"": ""足元にこの方の荷物があります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 647, ""end"": 661}]",[]
