id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発話している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全確認よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 16}]",[]
3,感染防御,not_detected,感染防御に関する発言が検出されない。,[],[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 16, ""end"": 23}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""すみません、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 30, ""end"": 45}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 6, ""quote"": ""あなたは119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 62}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたはAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 62, ""end"": 80}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 80, ""end"": 95}]",[]
9,呼吸の確認,not_detected,呼吸の確認に関する発言が検出されない。,[],[]
10,脈の確認,not_detected,脈の確認に関する発言が検出されない。,[],[]
11,胸骨圧迫の数唱,not_detected,胸骨圧迫の数唱が検出されない。,[],[]
12,AED使用能力の確認,not_detected,「使いますか？」という使用意思の確認にとどまり、AED使用能力の確認が検出されない。,[],[]
13,胸骨圧迫交代の依頼,not_detected,胸骨圧迫交代の依頼が検出されない。,[],[]
14,合図による交代,not_detected,合図による交代が検出されない。,[],[]
15,ショック前の離隔指示,not_detected,該当箇所の離隔指示は機器音声の一連の流れであり、参加者による離隔指示が検出されない。,[],[]
16,ショック後の数唱,not_detected,ショック後の胸骨圧迫の数唱が検出されない。,[],[]
17,救急隊への経緯説明,not_detected,救急隊への経緯説明が検出されない。,[],[]
18,荷物の存在を知らせる,not_detected,荷物の存在を知らせる発言が検出されない。,[],[]
