id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を明確に発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 13, ""end"": 24}]",[]
4,反応の確認,met,「大丈夫ですか」と傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 24, ""end"": 31}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 60, ""end"": 76}]",[]
7,AED持参の指示,met,他者に対してAEDを持参するよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 76, ""end"": 93}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 93, ""end"": 108}]",[]
9,呼吸の確認,met,呼吸の確認を行い、「呼吸、脈ありません」と結果を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とみぞおちを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 122}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 131, ""end"": 141}]",[]
10,脈の確認,met,脈の確認を行い、「呼吸、脈ありません」と結果を発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 131}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 131, ""end"": 141}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始後に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 151, ""end"": 214}]",[]
12,AED使用能力の確認,met,AED持参者に使用能力を確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 225, ""end"": 237}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 258, ""end"": 272}]",[]
14,合図による交代,met,「1、2、3」の合図で胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わります。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 272, ""end"": 284}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 284, ""end"": 290}]",[]
15,ショック前の離隔指示,uncertain,機器の音声案内が続く箇所にある「離れてください」の発話者が不明であり、続く発言も離隔指示ではなく報告であるため参加者による指示か判断できない。,"[{""segment_id"": 30, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 412, ""end"": 420}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 40, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 519, ""end"": 582}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 41, ""quote"": ""あ、救急隊の方、この方、ええ、3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 582, ""end"": 617}, {""segment_id"": 42, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 617, ""end"": 653}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 43, ""quote"": ""荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 678, ""end"": 689}]",[]
