id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を明確に発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を行ったことを明確に発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""そこの誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 57}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 90}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸がない結果を確認している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 105, ""end"": 119}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 127, ""end"": 137}]",[]
10,脈の確認,met,脈の確認を行い、脈がない結果を確認している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 119, ""end"": 127}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 127, ""end"": 137}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 15, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 147, ""end"": 210}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか能力を確認している。,"[{""segment_id"": 18, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 232, ""end"": 244}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 21, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 276, ""end"": 290}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 22, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 290, ""end"": 304}, {""segment_id"": 23, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 304, ""end"": 310}]",[]
15,ショック前の離隔指示,uncertain,ショックボタンを押す前に他者に離隔指示を行っている。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 405, ""end"": 413}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 38, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 461, ""end"": 489}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯や実施した処置を説明している。,"[{""segment_id"": 41, ""quote"": ""この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 551, ""end"": 574}, {""segment_id"": 42, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 574, ""end"": 610}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで傷病者の荷物の位置を知らせている。,"[{""segment_id"": 43, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 625, ""end"": 640}]",[]
