id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 1, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 46}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 3, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 4, ""quote"": ""あなた、119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 78}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 5, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 78, ""end"": 96}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 6, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 96, ""end"": 111}]",[]
9,呼吸の確認,met,呼吸の確認を発言している。,"[{""segment_id"": 7, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 111, ""end"": 124}]",[]
10,脈の確認,met,脈の確認を発言している。,"[{""segment_id"": 7, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 125, ""end"": 132}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 10, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 153, ""end"": 216}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認している。,"[{""segment_id"": 13, ""quote"": ""ええと、あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 238, ""end"": 254}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""え、胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 288, ""end"": 304}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""1、2の3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 304, ""end"": 318}, {""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 318, ""end"": 324}]",[]
15,ショック前の離隔指示,not_detected,参加者が他者に離れるよう指示するコールが検出されない（離隔の確認・報告のみ）。,[],[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 34, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 501, ""end"": 564}]",[]
17,救急隊への経緯説明,met,救急隊に引き継ぐ想定で経緯を説明している。,"[{""segment_id"": 36, ""quote"": ""あ、救急隊の方、この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 585, ""end"": 616}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を知らせている。,"[{""segment_id"": 38, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 669, ""end"": 684}]",[]
