id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを明確に発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を確認したことを発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に対して大丈夫ですかと呼びかけ、反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,誰か来てくださいと応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 57}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者に対してAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 90}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がない旨を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 105, ""end"": 118}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 142}]",[]
10,脈の確認,met,脈の確認および脈がない旨を発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 119, ""end"": 127}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 142}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始後に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 152, ""end"": 180}]",[]
12,AED使用能力の確認,uncertain,「使いましたか」と発言しており、使用能力（使えますか）の確認なのか意味が不明確であるため。,"[{""segment_id"": 14, ""quote"": ""あなたAED使いましたか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 180, ""end"": 193}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を明確に依頼している。,"[{""segment_id"": 15, ""quote"": ""じゃ、胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 193, ""end"": 210}]",[]
14,合図による交代,met,1、2、3の合図で交代を行っている。,"[{""segment_id"": 16, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 210, ""end"": 224}, {""segment_id"": 17, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 224, ""end"": 230}]",[]
15,ショック前の離隔指示,uncertain,充電前後の離隔指示は機器音声の可能性があり発言者を断定できず、参加者の発言は周囲確認にとどまるため。,"[{""segment_id"": 28, ""quote"": ""体から離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 361, ""end"": 372}]",[]
16,ショック後の数唱,uncertain,ショック実行後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 35, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 418, ""end"": 481}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して倒れた時間やショックの実施などの経緯を説明している。,"[{""segment_id"": 37, ""quote"": ""えっと、この人が、え、2分前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 492, ""end"": 519}, {""segment_id"": 38, ""quote"": ""えっと、AEDで1回ショックをして、まだ、えっと、意識がありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 519, ""end"": 553}]",[]
18,荷物の存在を知らせる,not_detected,救急隊に荷物の存在を知らせる発言は確認できない。,[],[]
