id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,not_detected,周囲の安全確認に関する発言が検出されない。,[],[]
3,感染防御,not_detected,感染防御に関する発言が検出されない。,[],[]
4,反応の確認,met,傷病者に「大丈夫ですか？」と呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 13}]",[]
5,応援を呼ぶ,met,「誰か来てください」と周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 27, ""end"": 39}]",[]
6,119番通報の指示,met,119番通報を具体的に指示している。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 39, ""end"": 55}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 55, ""end"": 71}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 71, ""end"": 86}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸がないことを確認している。,"[{""segment_id"": 9, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 86, ""end"": 99}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 108, ""end"": 118}]",[]
10,脈の確認,met,脈の確認を行い、脈がないことを確認している。,"[{""segment_id"": 9, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 100, ""end"": 108}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 108, ""end"": 118}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 128, ""end"": 191}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 202, ""end"": 214}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 243, ""end"": 257}]",[]
14,合図による交代,met,「1、2、3」の合図で胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 257, ""end"": 271}, {""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 271, ""end"": 277}]",[]
15,ショック前の離隔指示,met,ショック前に周囲に離れるよう指示し、後続してショックを実行している。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 431, ""end"": 439}]",[]
16,ショック後の数唱,uncertain,ショック実行後に数唱を行っているが、ショック完了の確認がなく終了時点が特定できない。,"[{""segment_id"": 39, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 484, ""end"": 547}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況やこれまでの処置の経緯を説明している。,"[{""segment_id"": 41, ""quote"": ""この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 555, ""end"": 578}, {""segment_id"": 42, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 578, ""end"": 614}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎの想定で傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 43, ""quote"": ""この方の荷物が分かりませんが、この方の荷物はこの足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 614, ""end"": 646}]",[]
