id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,not_detected,傷病者に呼びかけて反応を確認する発言が検出されない。,[],[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 25, ""end"": 37}]",[]
6,119番通報の指示,met,他者に119番通報を具体的に指示している。,"[{""segment_id"": 5, ""quote"": ""あなたは119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 40, ""end"": 57}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 6, ""quote"": ""あなたはAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 57, ""end"": 75}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに帰ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 75, ""end"": 90}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸なしと結果を発言している。,"[{""segment_id"": 8, ""quote"": ""胸と顔を見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 90, ""end"": 101}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 107, ""end"": 117}]",[]
10,脈の確認,met,脈の確認を行い、脈なしと結果を発言している。,"[{""segment_id"": 8, ""quote"": ""脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 102, ""end"": 107}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 107, ""end"": 117}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始後に回数を数唱している。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 127, ""end"": 190}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 215, ""end"": 227}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 248, ""end"": 262}]",[]
14,合図による交代,met,掛け声で胸骨圧迫の交代を行っている。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わります。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 262, ""end"": 274}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 274, ""end"": 280}]",[]
15,ショック前の離隔指示,met,ショック実行前に他者に離れるよう指示している。,"[{""segment_id"": 31, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 428, ""end"": 436}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 39, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 488, ""end"": 551}]",[]
17,救急隊への経緯説明,met,救急隊に倒れた時間や処置の経緯を説明している。,"[{""segment_id"": 41, ""quote"": ""この方、えー、3分前に倒れるところを目撃しました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 559, ""end"": 584}, {""segment_id"": 42, ""quote"": ""えーっと、胸骨圧迫をしてAEDで1回ショックしましたけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 584, ""end"": 627}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎの中で荷物の位置を知らせている。,"[{""segment_id"": 43, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 661, ""end"": 676}]",[]
