id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲は安全です"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 45}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 60}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 5, ""quote"": ""あなたに119番通報をお願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 78}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 6, ""quote"": ""あなたAEDも持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 85, ""end"": 101}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 102, ""end"": 116}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がない旨を発言している。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 131}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 140, ""end"": 149}]",[]
10,脈の確認,met,脈の確認および脈がない旨を発言している。,"[{""segment_id"": 8, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 135, ""end"": 139}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 140, ""end"": 149}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に1から30まで数唱を行っている。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 160, ""end"": 240}]",[]
12,AED使用能力の確認,met,AED持参者にAEDを使えるか能力を確認している。,"[{""segment_id"": 13, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 255, ""end"": 266}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 278, ""end"": 291}]",[]
14,合図による交代,met,合図で交代することを予告し、合図を行っている。,"[{""segment_id"": 16, ""quote"": ""1、2、3で代わりましょう"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 292, ""end"": 305}, {""segment_id"": 17, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 306, ""end"": 311}]",[]
15,ショック前の離隔指示,uncertain,参加者がショック前に他者および自身の離隔を確認・指示している。,"[{""segment_id"": 28, ""quote"": ""離れてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 454, ""end"": 461}, {""segment_id"": 31, ""quote"": ""みんな離れてます"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 479, ""end"": 487}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,not_detected,ショック完了後に胸骨圧迫の数唱が行われていない（救急隊への引き継ぎ合図の1、2、3のみ）。,[],[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や胸骨圧迫・AEDショックの経緯を説明している。,"[{""segment_id"": 38, ""quote"": ""ええと、3分前にこの人が目の前で倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 566, ""end"": 593}, {""segment_id"": 39, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたけど、まだ意識戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 605, ""end"": 640}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎの文脈で足元に荷物があることを伝えている。,"[{""segment_id"": 40, ""quote"": ""足元にこの方の荷物があります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 656, ""end"": 670}]",[]
