id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 77}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 93}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 93, ""end"": 108}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしという結果を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 122}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 130, ""end"": 140}]",[]
10,脈の確認,met,脈の確認および脈なしという結果を発言している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 122, ""end"": 130}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 130, ""end"": 140}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 15, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 150, ""end"": 213}]",[]
12,AED使用能力の確認,met,AED持参者にAEDを使えるか確認している。,"[{""segment_id"": 17, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 224, ""end"": 236}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 19, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 254, ""end"": 268}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 20, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 268, ""end"": 282}, {""segment_id"": 21, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 282, ""end"": 288}]",[]
15,ショック前の離隔指示,uncertain,機器の音声案内が続く箇所における離隔指示であり、参加者の発言か確定できない。,"[{""segment_id"": 31, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 415, ""end"": 423}]",[]
16,ショック後の数唱,uncertain,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 36, ""quote"": ""3、1、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 456, ""end"": 515}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 38, ""quote"": ""この方3分前で目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 523, ""end"": 544}, {""segment_id"": 39, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 544, ""end"": 580}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を知らせている。,"[{""segment_id"": 40, ""quote"": ""この方の身元分からないんですけども、足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 580, ""end"": 613}]",[]
