id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言しています。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全確認を明確に発言しています。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御の確認を明確に発言しています。,"[{""segment_id"": 2, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 20}]",[]
4,反応の確認,met,傷病者への呼びかけにより反応を確認しています。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 41}]",[]
5,応援を呼ぶ,met,周囲に応援を求めています。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 56}]",[]
6,119番通報の指示,met,他者に対して119番通報を明確に指示しています。,"[{""segment_id"": 5, ""quote"": ""あなた119番通報お願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 72}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を明確に指示しています。,"[{""segment_id"": 6, ""quote"": ""あなたAED持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 88}]",[]
8,戻るよう指示,met,依頼した相手に戻ってくるよう明確に指示しています。,"[{""segment_id"": 7, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 89, ""end"": 103}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしという結果を発言しています。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 112, ""end"": 117}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 135}]",[]
10,脈の確認,met,脈の確認および脈なしという結果を発言しています。,"[{""segment_id"": 8, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 125}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 135}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中の数唱を行っています。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 146, ""end"": 208}]",[]
12,AED使用能力の確認,met,持参者に対してAEDが使えるか能力を確認しています。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 231, ""end"": 242}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼しています。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 250, ""end"": 266}]",[]
14,合図による交代,met,交代の合図を発声して胸骨圧迫を交代しています。,"[{""segment_id"": 21, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 301, ""end"": 306}]",[]
15,ショック前の離隔指示,uncertain,ショック前に参加者から離れるよう指示が出されており、その後にショックが完了しています。,"[{""segment_id"": 24, ""quote"": ""じゃあ離れてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 328, ""end"": 338}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っています。,"[{""segment_id"": 30, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 389, ""end"": 436}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯や処置内容を説明しています。,"[{""segment_id"": 32, ""quote"": ""あ、救急隊、隊の方、この方3分前に目の前で倒れるのを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 458, ""end"": 488}, {""segment_id"": 33, ""quote"": ""ええと、胸骨圧迫をしてAEDで1回ショックしましたけども、ええと、まだ意識戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 489, ""end"": 533}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎの中で傷病者の荷物の存在を伝えています。,"[{""segment_id"": 34, ""quote"": ""足元にこの方の荷物あります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 555, ""end"": 568}]",[]
