id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の確認を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 57}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 90}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことの発言がある。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 105, ""end"": 118}]",[]
10,脈の確認,met,脈の確認および脈がないことの発言がある。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 119, ""end"": 127}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数えている。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 152, ""end"": 180}]",[]
12,AED使用能力の確認,not_detected,AEDが使えるかどうかの能力確認ではなく、「使いました？」と使用歴や意思を問う発言にとどまっている。,[],[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 199, ""end"": 216}]",[]
14,合図による交代,met,合図で胸骨圧迫を交代している。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 216, ""end"": 230}, {""segment_id"": 18, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 230, ""end"": 235}]",[]
15,ショック前の離隔指示,met,参加者がショック前に他者や周囲の離隔を確認・指示し、その後にショックが実行されている。,"[{""segment_id"": 31, ""quote"": ""あなた離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 396, ""end"": 405}, {""segment_id"": 32, ""quote"": ""みんな離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 405, ""end"": 414}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 35, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 427, ""end"": 489}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯やショック実施などの経緯を説明している。,"[{""segment_id"": 35, ""quote"": ""あ、救急隊の方ですね。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 489, ""end"": 500}, {""segment_id"": 36, ""quote"": ""ええと、この人が、ええ、2分前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 500, ""end"": 528}, {""segment_id"": 37, ""quote"": ""ええと、AEDで1回ショックをして、まだ、ええと、意識ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 528, ""end"": 561}, {""segment_id"": 38, ""quote"": ""胸骨圧迫をしています。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 561, ""end"": 572}]",[]
18,荷物の存在を知らせる,not_detected,救急隊に対して傷病者の荷物の存在を知らせる発言がない。,[],[]
