id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御に入る旨を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に入ります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 24, ""end"": 45}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 5, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 60, ""end"": 76}]",[]
7,AED持参の指示,met,他者に対してAEDを持ってくるよう指示している。,"[{""segment_id"": 6, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 76, ""end"": 92}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 92, ""end"": 107}]",[]
9,呼吸の確認,met,呼吸確認の実施および呼吸なしの結果を発言している。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 115, ""end"": 120}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 129, ""end"": 139}]",[]
10,脈の確認,met,脈の確認の実施および脈なしの結果を発言している。,"[{""segment_id"": 8, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 124, ""end"": 128}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 129, ""end"": 139}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に数唱を行っている。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 150, ""end"": 213}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 235, ""end"": 247}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 254, ""end"": 271}]",[]
14,合図による交代,met,合図により胸骨圧迫の交代（引き継ぎ）を行っている。,"[{""segment_id"": 34, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 556, ""end"": 562}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲に離れるよう指示している。,"[{""segment_id"": 22, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 312, ""end"": 320}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 28, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 370, ""end"": 418}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や実施した処置の経緯を説明している。,"[{""segment_id"": 30, ""quote"": ""あ、救急隊の方が、この方3分前に目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 439, ""end"": 469}, {""segment_id"": 31, ""quote"": ""ええと、胸骨圧迫をしてAEDで1回ショックしましたけども、ええと、まだ意識戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 469, ""end"": 514}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで傷病者の荷物の存在を伝えている。,"[{""segment_id"": 32, ""quote"": ""足元にこの方の荷物あります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 535, ""end"": 549}]",[]
