id,name,status,reason,evidence,warnings
1,傷病者発見,not_detected,傷病者を発見した旨のコールは確認できません。,[],[]
2,周囲の安全,met,周囲の安全を確認する発言が明確に行われています。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 8}]",[]
3,感染防御,met,感染防御への配慮を宣言しています。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 16, ""end"": 27}]",[]
4,反応の確認,met,傷病者に声をかけて反応を確認しています。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 27, ""end"": 34}]",[]
5,応援を呼ぶ,met,周囲に応援を求めています。,"[{""segment_id"": 8, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 54, ""end"": 63}]",[]
6,119番通報の指示,met,他者に119番通報を指示しています。,"[{""segment_id"": 9, ""quote"": ""119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 80, ""end"": 93}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示しています。,"[{""segment_id"": 10, ""quote"": ""AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 105, ""end"": 119}]",[]
8,戻るよう指示,met,依頼相手に必ず戻るよう指示しています。,"[{""segment_id"": 11, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 119, ""end"": 134}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸なしと判断しています。,"[{""segment_id"": 13, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 145, ""end"": 159}, {""segment_id"": 15, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 179, ""end"": 189}]",[]
10,脈の確認,met,脈の確認を行い、脈なしと判断しています。,"[{""segment_id"": 14, ""quote"": ""同時に頸動脈を触知して、えー、脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 159, ""end"": 179}, {""segment_id"": 15, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 179, ""end"": 189}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に数唱を行っています。,"[{""segment_id"": 18, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 206, ""end"": 269}]",[]
12,AED使用能力の確認,met,AED持参者に使用可能か確認しています。,"[{""segment_id"": 21, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 292, ""end"": 304}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫の交代を依頼しています。,"[{""segment_id"": 25, ""quote"": ""で、胸骨圧迫を私の代わりに行ってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 338, ""end"": 359}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代しています。,"[{""segment_id"": 26, ""quote"": ""えー、1、2の3で交代します。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 359, ""end"": 374}, {""segment_id"": 28, ""quote"": ""あ、1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 377, ""end"": 385}]",[]
15,ショック前の離隔指示,uncertain,安全確認を行いショック前に離れるよう指示しています。,"[{""segment_id"": 43, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 553, ""end"": 561}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っています。,"[{""segment_id"": 51, ""quote"": ""2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 639, ""end"": 679}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況やこれまでの処置の経緯を説明しています。,"[{""segment_id"": 52, ""quote"": ""あ、救急隊の方、えー、この方ですね、えっと、3分前に目の前で倒れるところを目撃しました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 679, ""end"": 723}, {""segment_id"": 53, ""quote"": ""えーと、胸骨圧迫を行ってAEDで今1回ショックしたんですけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 723, ""end"": 768}]",[]
18,荷物の存在を知らせる,met,傷病者の荷物の位置を救急隊に伝えています。,"[{""segment_id"": 54, ""quote"": ""この方の荷物はこの足元に置いてあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 786, ""end"": 806}]",[]
