id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御を行った旨を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 20}]",[]
4,反応の確認,met,傷病者に「大丈夫ですか」と呼びかけ、反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 27}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 50}]",[]
6,119番通報の指示,met,他者に119番通報を具体的に指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番通報お願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 51, ""end"": 66}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAEDを持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 67, ""end"": 83}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 84, ""end"": 98}]",[]
9,呼吸の確認,not_detected,呼吸の確認や呼吸なし等の所見発言が確認できない。,[],[]
10,脈の確認,not_detected,脈の確認や脈なし等の所見発言が確認できない。,[],[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 10, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 99, ""end"": 161}]",[]
12,AED使用能力の確認,met,AED持参者に使えるかどうか能力を確認している。,"[{""segment_id"": 12, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 173, ""end"": 184}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""胸骨圧迫、位置を変わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 213, ""end"": 229}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 17, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 230, ""end"": 235}]",[]
15,ショック前の離隔指示,uncertain,機器の案内音声が続く箇所での離隔指示であり、発話者が参加者か機器音声か断定できない。,"[{""segment_id"": 29, ""quote"": ""離れてください"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 380, ""end"": 387}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 35, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 442, ""end"": 504}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者の倒れた経緯や実施した処置を説明している。,"[{""segment_id"": 36, ""quote"": ""救急隊の方、この方を3分前に倒れるのを目の前で見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 505, ""end"": 532}]",[]
18,荷物の存在を知らせる,met,傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 38, ""quote"": ""この方の荷物は足元にあります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 587, ""end"": 601}]",[]
