id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 46, ""end"": 58}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた、119番通報をお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 58, ""end"": 76}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を具体的に指示している。,"[{""segment_id"": 9, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 76, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,not_detected,呼吸の確認やその結果に関する発言が確認できない。,[],[]
10,脈の確認,not_detected,脈の確認やその結果に関する発言が確認できない。,[],[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 109, ""end"": 172}]",[]
12,AED使用能力の確認,met,AEDを持参した人に使えるか能力を確認している。,"[{""segment_id"": 13, ""quote"": ""あなた、AED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 183, ""end"": 196}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""ええと、胸骨圧迫、位置を変わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 226, ""end"": 247}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 250, ""end"": 256}]",[]
15,ショック前の離隔指示,met,ショック前に離れるよう指示し、その後にショックが実行されている。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 408, ""end"": 416}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 465, ""end"": 528}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 38, ""quote"": ""救急隊の方、この方を3分前に倒れるところを目の前で見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 528, ""end"": 558}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎの中で荷物の位置を知らせている。,"[{""segment_id"": 40, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 612, ""end"": 627}]",[]
