t_ms,step,beam,score,sum_logprob,logprobs_where,prefix_source,prefix_len,prefix_tail_ids,prefix,lock_remaining_len
1787448830642,0,0,-0.08699020743370056,-0.08699020743370056,args:1,args[0],23,"[46568, 35863, 2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>,0
1787448830642,0,1,-5.1421661376953125,-5.1421661376953125,args:1,args[0],23,"[46568, 35863, 2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>,0
1787448830642,0,2,-5.5288848876953125,-5.5288848876953125,args:1,args[0],23,"[46568, 35863, 2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>,0
1787448830664,1,0,-0.08699020743370056,-0.08699020743370056,args:1,args[0],24,"[35863, 2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>,0
1787448830664,1,1,-5.5288848876953125,-5.5288848876953125,args:1,args[0],24,"[35863, 2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50415]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>,0
1787448830664,1,2,-10.2552490234375,-10.2552490234375,args:1,args[0],24,"[35863, 2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50366]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>,0
1787448830684,2,0,-0.12413793802261353,-0.12413793802261353,args:1,args[0],25,"[2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷,0
1787448830684,2,1,-4.530387878417969,-4.530387878417969,args:1,args[0],25,"[2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50366, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷,0
1787448830684,2,2,-5.163200378417969,-5.163200378417969,args:1,args[0],25,"[2172, 94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50415, 12]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>-,0
1787448830701,3,0,-0.12893745303153992,-0.12893745303153992,args:1,args[0],26,"[94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病,0
