id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御を行った旨を発言している。,"[{""segment_id"": 1, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 20}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 42}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 3, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 44, ""end"": 53}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 4, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 53, ""end"": 69}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 5, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 69, ""end"": 85}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 6, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 85, ""end"": 100}]",[]
9,呼吸の確認,met,呼吸の確認と呼吸なしの結果を発言している。,"[{""segment_id"": 7, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 104, ""end"": 109}, {""segment_id"": 8, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 128}]",[]
10,脈の確認,met,脈の確認と脈なしの結果を発言している。,"[{""segment_id"": 7, ""quote"": ""同時に脈も確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 110, ""end"": 117}, {""segment_id"": 8, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 128}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 10, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、20、3、2、4、5、6、7、8、9、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 138, ""end"": 199}]",[]
12,AED使用能力の確認,met,相手にAEDが使えるか能力を確認している。,"[{""segment_id"": 11, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 199, ""end"": 211}]",[]
13,胸骨圧迫交代の依頼,met,他者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 236, ""end"": 253}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 16, ""quote"": ""1、2、3で代わります。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 253, ""end"": 265}, {""segment_id"": 17, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 265, ""end"": 271}]",[]
15,ショック前の離隔指示,uncertain,ショック前に離れるよう指示・確認を行い、その後にショックが実行されている。,"[{""segment_id"": 24, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 324, ""end"": 332}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 31, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、20、3、2、3、4、5、6、7、8、9、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 384, ""end"": 447}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者発見からの経緯を説明している。,"[{""segment_id"": 32, ""quote"": ""あ、救急隊の方、え、この方が3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 447, ""end"": 481}, {""segment_id"": 33, ""quote"": ""え、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 481, ""end"": 519}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を伝えている。,"[{""segment_id"": 34, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 534, ""end"": 549}]",[]
