id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を考慮する旨を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御を考慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,「大丈夫ですか」と傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,「誰か来てください」と周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か誰か誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 59}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 59, ""end"": 75}]",[]
7,AED持参の指示,met,他者に対してAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 75, ""end"": 92}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 92, ""end"": 107}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 107, ""end"": 121}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 129}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 15, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 149, ""end"": 212}]",[]
12,AED使用能力の確認,met,AED持参者に対してAEDが使えるか確認している。,"[{""segment_id"": 18, ""quote"": ""ええと、あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 235, ""end"": 251}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 21, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 288, ""end"": 302}]",[]
14,合図による交代,met,「1、2、3」の合図で胸骨圧迫を交代している。,"[{""segment_id"": 22, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 302, ""end"": 316}, {""segment_id"": 23, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 316, ""end"": 322}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲に離れるよう指示している。,"[{""segment_id"": 35, ""quote"": ""体から離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 463, ""end"": 474}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の回数を数唱している。,"[{""segment_id"": 42, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 535, ""end"": 598}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や実施した処置の経緯を説明している。,"[{""segment_id"": 44, ""quote"": ""あ、救急隊の方、この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 619, ""end"": 650}, {""segment_id"": 45, ""quote"": ""ええ、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識が戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 650, ""end"": 689}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 46, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 704, ""end"": 719}]",[]
