id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言しています。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言しています。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言しています。,"[{""segment_id"": 1, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認しています。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 46}]",[]
5,応援を呼ぶ,met,周囲に応援を求めています。,"[{""segment_id"": 3, ""quote"": ""誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 48, ""end"": 56}]",[]
6,119番通報の指示,met,他者に119番通報を指示しています。,"[{""segment_id"": 4, ""quote"": ""あなたは119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 74}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示しています。,"[{""segment_id"": 5, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 74, ""end"": 90}]",[]
8,戻るよう指示,met,持参を依頼した相手に必ずここに戻るよう指示しています。,"[{""segment_id"": 6, ""quote"": ""必ずここに持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がない旨を発言しています。,"[{""segment_id"": 7, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 109, ""end"": 114}, {""segment_id"": 8, ""quote"": ""呼吸脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 132}]",[]
10,脈の確認,met,脈の確認および脈がない旨を発言しています。,"[{""segment_id"": 7, ""quote"": ""同時に脈も確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 115, ""end"": 122}, {""segment_id"": 8, ""quote"": ""呼吸脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 132}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数えています。,"[{""segment_id"": 10, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、20、3、2、4、5、6、7、8、9、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 142, ""end"": 203}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか能力を確認しています。,"[{""segment_id"": 12, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 215, ""end"": 227}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼しています。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 252, ""end"": 269}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代しています。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わります。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 269, ""end"": 281}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 281, ""end"": 287}]",[]
15,ショック前の離隔指示,uncertain,ショック実行前に離れるよう指示しています。,"[{""segment_id"": 30, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 431, ""end"": 439}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っています。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、20、3、2、3、4、5、6、7、8、9、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 489, ""end"": 552}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者の倒れた経緯や実施した処置を説明しています。,"[{""segment_id"": 38, ""quote"": ""あ、救急隊の方、え、この方が3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 552, ""end"": 586}, {""segment_id"": 39, ""quote"": ""え、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 586, ""end"": 624}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を知らせています。,"[{""segment_id"": 40, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 639, ""end"": 654}]",[]
