id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を確認した旨を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者へ呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,「誰か」と周囲へ応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 48}]",[]
6,119番通報の指示,met,他者へ119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 62, ""end"": 78}]",[]
7,AED持参の指示,met,他者へAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 78, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸がないことを確認している。,"[{""segment_id"": 11, ""quote"": ""胸とみぞおちを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 109, ""end"": 124}]",[]
10,脈の確認,met,脈の確認を行い、脈がないことを確認している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 124, ""end"": 132}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の数唱を行っている。,"[{""segment_id"": 15, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 151, ""end"": 184}]",[]
12,AED使用能力の確認,not_detected,AEDの使用意思（使いますか）のみで、能力の確認（使えますか）は行われていない。,[],[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 19, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 236, ""end"": 250}]",[]
14,合図による交代,met,合図を出して交代を行っている。,"[{""segment_id"": 21, ""quote"": ""123"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 253, ""end"": 256}]",[]
15,ショック前の離隔指示,uncertain,機器の定型案内が続く箇所に離隔発言があるが、参加者の発言か確定できない。,"[{""segment_id"": 34, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 413, ""end"": 421}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 43, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 511, ""end"": 544}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 43, ""quote"": ""あ、救急隊の方、この人が目の前で3分前に倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 544, ""end"": 574}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を伝えている。,"[{""segment_id"": 45, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 626, ""end"": 641}]",[]
