id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者へ呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者へ119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あ、あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 79}]",[]
7,AED持参の指示,met,他者へAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを取ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 79, ""end"": 96}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 96, ""end"": 111}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを発言している。,"[{""segment_id"": 11, ""quote"": ""胸と顔を見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 111, ""end"": 122}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 131, ""end"": 141}]",[]
10,脈の確認,met,脈の確認および脈がないことを発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 131}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 131, ""end"": 141}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を声に出して数えている。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 151, ""end"": 214}]",[]
12,AED使用能力の確認,not_detected,「AED使いますか？」と使用意思を問うのみで、使用能力を確認していない。,[],[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""あ、じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 239, ""end"": 258}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""じゃあ1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 278, ""end"": 295}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 295, ""end"": 301}]",[]
15,ショック前の離隔指示,uncertain,離隔の指示があるものの、機器の自動音声と混在しており参加者による発言か断定できない。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 445, ""end"": 453}]",[]
16,ショック後の数唱,uncertain,ショック実行後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 38, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 489, ""end"": 552}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して傷病者発見からの経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""あ、救急隊の方、この人が私3分前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 552, ""end"": 581}, {""segment_id"": 40, ""quote"": ""ええと、胸骨圧迫をしてAEDで1回ショックしたんですけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 581, ""end"": 624}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 41, ""quote"": ""この人の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 642, ""end"": 657}]",[]
