id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 13, ""end"": 24}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 24, ""end"": 31}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者に119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 60, ""end"": 76}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 76, ""end"": 93}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 93, ""end"": 108}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを発言している。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 116, ""end"": 121}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 130, ""end"": 140}]",[]
10,脈の確認,met,脈の確認および脈がないことを発言している。,"[{""segment_id"": 11, ""quote"": ""脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 125, ""end"": 130}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 130, ""end"": 140}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の開始後に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 150, ""end"": 213}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか能力を確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 224, ""end"": 236}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 257, ""end"": 271}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わります。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 271, ""end"": 283}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 283, ""end"": 289}]",[]
15,ショック前の離隔指示,met,ショック実行前に他者に離れるよう指示し、後続にショックの実行がある。,"[{""segment_id"": 31, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 419, ""end"": 427}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 42, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 523, ""end"": 586}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 44, ""quote"": ""この方、ええ、3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 594, ""end"": 621}, {""segment_id"": 45, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 621, ""end"": 657}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 46, ""quote"": ""この方の、ええ、荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 674, ""end"": 693}]",[]
