id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か誰か誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 59}]",[]
6,119番通報の指示,met,他者へ119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 59, ""end"": 75}]",[]
7,AED持参の指示,met,他者へAEDを持参するよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 75, ""end"": 91}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 91, ""end"": 106}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がない旨を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とみぞおちを見て呼吸の確認、同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 106, ""end"": 129}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 139}]",[]
10,脈の確認,met,脈の確認および脈がない旨を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とみぞおちを見て呼吸の確認、同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 106, ""end"": 129}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 139}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 149, ""end"": 212}]",[]
12,AED使用能力の確認,met,持参者にAEDを使用できるか能力を確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 223, ""end"": 235}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 253, ""end"": 267}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 267, ""end"": 281}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 281, ""end"": 287}]",[]
15,ショック前の離隔指示,uncertain,ショック実行前に周囲へ離れるよう指示している。,"[{""segment_id"": 30, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 413, ""end"": 421}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,not_detected,ショック完了後に胸骨圧迫の数唱を行った発言は確認できない。,[],[]
17,救急隊への経緯説明,met,救急隊へ倒れた時の状況や処置の経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""あ、救急隊の方、この方3分前で目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 501, ""end"": 530}, {""segment_id"": 40, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 530, ""end"": 566}]",[]
18,荷物の存在を知らせる,met,救急隊へ傷病者の荷物の存在を知らせている。,"[{""segment_id"": 41, ""quote"": ""この方の身元分からないんですけども、足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 566, ""end"": 599}]",[]
