id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の考慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御、考慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 77}]",[]
7,AED持参の指示,met,他者にAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,met,呼吸の確認を発言している。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 123}]",[]
10,脈の確認,met,脈の確認を発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 124, ""end"": 132}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10、1、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 153, ""end"": 223}]",[]
12,AED使用能力の確認,met,AEDが使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 223, ""end"": 235}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""あ、じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 235, ""end"": 254}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 279, ""end"": 285}]",[]
15,ショック前の離隔指示,met,ショック前に他者へ離れるよう指示している。,"[{""segment_id"": 32, ""quote"": ""あなたも離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 442, ""end"": 454}]",[]
16,ショック後の数唱,uncertain,ショック完了を示す根拠がなく、終了時点が不明なため。,[],[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況などの経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""え、この方が、え、3分前に倒れて、倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 552, ""end"": 581}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を伝えている。,"[{""segment_id"": 41, ""quote"": ""この人の身元は分かりませんが、そこに荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 623, ""end"": 649}]",[]
