id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の確認を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者への呼びかけによる反応確認を行っている。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 60, ""end"": 76}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を具体的に指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 76, ""end"": 92}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 92, ""end"": 107}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの結果を発言している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 107, ""end"": 120}, {""segment_id"": 12, ""quote"": ""呼吸脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 138}]",[]
10,脈の確認,met,脈の確認および脈なしの結果を発言している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 129}, {""segment_id"": 12, ""quote"": ""呼吸脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 138}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の数唱を行っている。,"[{""segment_id"": 14, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 148, ""end"": 181}]",[]
12,AED使用能力の確認,not_detected,「AED使いますか?」という使用意思の確認にとどまり、使用能力の確認は検出されない。,[],[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 19, ""quote"": ""123で胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 232, ""end"": 250}]",[]
14,合図による交代,met,「123」の合図で交代を行っている。,"[{""segment_id"": 21, ""quote"": ""123"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 253, ""end"": 256}]",[]
15,ショック前の離隔指示,uncertain,離れてくださいという離隔指示がAED機器の案内か参加者の発言か断定できない。,"[{""segment_id"": 34, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 415, ""end"": 423}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 43, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 514, ""end"": 547}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯や実施した処置を説明している。,"[{""segment_id"": 43, ""quote"": ""救急隊の方、この人が目の前で3分前に倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 547, ""end"": 575}, {""segment_id"": 44, ""quote"": ""胸骨圧迫とAEDで1回ショックをしましたけども意識はまだ戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 575, ""end"": 611}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで荷物の位置を知らせている。,"[{""segment_id"": 45, ""quote"": ""この方の身元は分かりませんがこの方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 611, ""end"": 640}]",[]
