id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 1, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,not_detected,傷病者の反応を確認する呼びかけ等の発言が検出されない。,[],[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 2, ""quote"": ""誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 28, ""end"": 36}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 3, ""quote"": ""あなたは119番通報してください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 37, ""end"": 53}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 4, ""quote"": ""あなたはAEDを持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 54, ""end"": 71}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 5, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 72, ""end"": 86}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを発言している。,"[{""segment_id"": 6, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 93, ""end"": 98}]",[]
10,脈の確認,met,脈の確認および脈がないことを発言している。,"[{""segment_id"": 6, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 99, ""end"": 103}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 9, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 124, ""end"": 186}]",[]
12,AED使用能力の確認,met,AED持参者に使えるかどうか能力を確認している。,"[{""segment_id"": 11, ""quote"": ""あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 198, ""end"": 210}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 12, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 225, ""end"": 238}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 13, ""quote"": ""1、2、3で代わります"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 239, ""end"": 250}, {""segment_id"": 14, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 251, ""end"": 256}]",[]
15,ショック前の離隔指示,uncertain,充電前後の離隔指示はAEDの自動音声か参加者の発言か判別できず、参加者の発言は「離れてます」という確認のみのため確定できない。,"[{""segment_id"": 27, ""quote"": ""離れてください"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 398, ""end"": 405}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 35, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 478, ""end"": 540}]",[]
17,救急隊への経緯説明,met,救急隊に対して発見時からの経緯を説明している。,"[{""segment_id"": 36, ""quote"": ""あ、救急隊の方、この方、3分前に倒れるところを目撃しました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 541, ""end"": 570}, {""segment_id"": 37, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたけども、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 571, ""end"": 608}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで傷病者の荷物の存在を伝えている。,"[{""segment_id"": 38, ""quote"": ""この方の荷物は足元にあります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 628, ""end"": 642}]",[]
