id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を考慮する旨を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御、考慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 55}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた、119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 55, ""end"": 72}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 72, ""end"": 90}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを確認している。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 112, ""end"": 117}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 136}]",[]
10,脈の確認,met,脈の確認および脈がないことを確認している。,"[{""segment_id"": 11, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 126}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 136}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫を行いながら回数を数唱している。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10、1、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 147, ""end"": 217}]",[]
12,AED使用能力の確認,met,AEDを持参した人に使用可能か確認している。,"[{""segment_id"": 14, ""quote"": ""あなた、AED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 217, ""end"": 230}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""あ、じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 237, ""end"": 256}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""えっと、1、2の3で代わってください。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 259, ""end"": 278}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 284, ""end"": 290}]",[]
15,ショック前の離隔指示,uncertain,機器の案内が続く箇所にある離れ指示であり、参加者の発言か確定できない。,"[{""segment_id"": 31, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 424, ""end"": 432}]",[]
16,ショック後の数唱,uncertain,数唱は行われているが、先行するショック完了の根拠が確認できず終了時点が不明である。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 477, ""end"": 505}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 40, ""quote"": ""この方が3分前に倒れて、倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 547, ""end"": 571}, {""segment_id"": 41, ""quote"": ""えっと、胸骨圧迫をして、AEDで1回ショックをしましたけど、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 571, ""end"": 614}]",[]
18,荷物の存在を知らせる,met,救急隊に荷物の存在を知らせている。,"[{""segment_id"": 42, ""quote"": ""そこに荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 629, ""end"": 640}]",[]
