id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,倒れている人への呼びかけにより反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 45}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 60}]",[]
6,119番通報の指示,met,119番通報を具体的に指示している。,"[{""segment_id"": 5, ""quote"": ""あなた119番通報してください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 63, ""end"": 78}]",[]
7,AED持参の指示,met,AEDを持ってくるよう指示している。,"[{""segment_id"": 6, ""quote"": ""あなたAEDを取ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 79, ""end"": 95}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 96, ""end"": 110}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がない旨を発言している。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 117, ""end"": 122}]",[]
10,脈の確認,met,脈の確認および脈がない旨を発言している。,"[{""segment_id"": 8, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 130}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数えている。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 151, ""end"": 213}]",[]
12,AED使用能力の確認,met,AEDを持ってきた人に使用できるか確認している。,"[{""segment_id"": 13, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 227, ""end"": 238}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 14, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 244, ""end"": 257}]",[]
14,合図による交代,met,カウントの合図に合わせて交代を行っている。,"[{""segment_id"": 16, ""quote"": ""じゃあ1、2、3で代わりましょう"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 276, ""end"": 292}, {""segment_id"": 17, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 293, ""end"": 298}]",[]
15,ショック前の離隔指示,met,ショック前に周囲に離れるよう指示している。,"[{""segment_id"": 19, ""quote"": ""離れてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 309, ""end"": 316}]",[]
16,ショック後の数唱,uncertain,ショック後に「1、2、3」の発話があるが、引き継ぎの合図か胸骨圧迫の数唱か判別できない。,"[{""segment_id"": 30, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 479, ""end"": 484}]",[]
17,救急隊への経緯説明,met,救急隊に対して発見時からの経緯を説明している。,"[{""segment_id"": 26, ""quote"": ""あ、救急隊の方、この人が私3分前に倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 363, ""end"": 391}, {""segment_id"": 27, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしたんですけども、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 396, ""end"": 434}]",[]
18,荷物の存在を知らせる,met,救急隊に対して荷物の位置を知らせている。,"[{""segment_id"": 28, ""quote"": ""この人の荷物は足元にあります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 453, ""end"": 467}]",[]
