id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,傷病者に声をかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 55}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番通報をお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 55, ""end"": 72}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 72, ""end"": 89}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 89, ""end"": 104}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを確認している。,"[{""segment_id"": 10, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 104, ""end"": 117}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 136}]",[]
10,脈の確認,met,脈の確認および脈がないことを確認している。,"[{""segment_id"": 10, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 125}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 126, ""end"": 136}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 146, ""end"": 209}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 231, ""end"": 243}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 263, ""end"": 277}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 20, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 280, ""end"": 294}, {""segment_id"": 21, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 294, ""end"": 300}]",[]
15,ショック前の離隔指示,uncertain,機器の音声案内が続く箇所の離隔指示であり、参加者による発言か断定できない。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 435, ""end"": 443}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 38, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 488, ""end"": 551}]",[]
17,救急隊への経緯説明,met,救急隊に引き継ぐ想定で経緯を説明している。,"[{""segment_id"": 39, ""quote"": ""あ、救急隊の方、えっと、この方3分以内に寝る前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 551, ""end"": 587}, {""segment_id"": 40, ""quote"": ""え、胸骨圧迫をしてAEDで1回ショックをしましたけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 587, ""end"": 628}]",[]
18,荷物の存在を知らせる,met,救急隊に引き継ぐ想定で傷病者の荷物の存在を知らせている。,"[{""segment_id"": 41, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 647, ""end"": 662}]",[]
