id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者へ119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報をお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 78}]",[]
7,AED持参の指示,met,他者へAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 78, ""end"": 95}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 95, ""end"": 110}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 11, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 118, ""end"": 123}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 142}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 11, ""quote"": ""脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 127, ""end"": 132}, {""segment_id"": 12, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 132, ""end"": 142}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始後に数唱を行っている。,"[{""segment_id"": 14, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 152, ""end"": 215}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認している。,"[{""segment_id"": 17, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 237, ""end"": 249}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 19, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 269, ""end"": 283}]",[]
14,合図による交代,met,合図を出して胸骨圧迫の交代を行っている。,"[{""segment_id"": 21, ""quote"": ""1、2の3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 286, ""end"": 300}, {""segment_id"": 22, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 300, ""end"": 306}]",[]
15,ショック前の離隔指示,uncertain,離れてくださいという発言がAED機器音声か参加者か特定できず、続く発言も状況報告であり明確な指示と断定できない。,"[{""segment_id"": 33, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 425, ""end"": 433}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 39, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 478, ""end"": 541}]",[]
17,救急隊への経緯説明,met,救急隊に引き継ぐ想定で倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 40, ""quote"": ""あ、救急隊の方、ええと、この方3分以内に寝る前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 541, ""end"": 577}, {""segment_id"": 41, ""quote"": ""え、胸骨圧迫をしてAEDで1回ショックをしましたけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 577, ""end"": 618}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を伝えている。,"[{""segment_id"": 42, ""quote"": ""足元にこの方の荷物があります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 637, ""end"": 652}]",[]
