id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,not_detected,周囲の安全確認に関する発言が検出されない。,[],[]
3,感染防御,not_detected,感染防御に関する発言が検出されない。,[],[]
4,反応の確認,met,傷病者に「大丈夫ですか？」と呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
5,応援を呼ぶ,met,「誰か来てください」と周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 27, ""end"": 39}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 39, ""end"": 55}]",[]
7,AED持参の指示,met,他者に対してAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 55, ""end"": 71}]",[]
8,戻るよう指示,met,依頼した相手に必ず戻ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 71, ""end"": 86}]",[]
9,呼吸の確認,met,呼吸の確認を行い、「呼吸、脈ありません」と結果を発言している。,"[{""segment_id"": 9, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 86, ""end"": 99}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 118}]",[]
10,脈の確認,met,脈の確認を行い、「呼吸、脈ありません」と結果を発言している。,"[{""segment_id"": 9, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 100, ""end"": 108}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 118}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始に伴い、回数を数唱している。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 128, ""end"": 191}]",[]
12,AED使用能力の確認,met,持参者にAEDを使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 202, ""end"": 214}]",[]
13,胸骨圧迫交代の依頼,met,相手に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 243, ""end"": 257}]",[]
14,合図による交代,met,「1、2、3」の合図で胸骨圧迫を交代している。,"[{""segment_id"": 18, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 257, ""end"": 271}, {""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 271, ""end"": 277}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲に離れるよう指示し、その後にショックが実行されている。,"[{""segment_id"": 32, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 431, ""end"": 439}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック実行後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 39, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 484, ""end"": 547}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 40, ""quote"": ""あ、救急隊の方。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 547, ""end"": 555}, {""segment_id"": 41, ""quote"": ""この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 555, ""end"": 578}, {""segment_id"": 42, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 578, ""end"": 614}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物が足元にあることを伝えている。,"[{""segment_id"": 43, ""quote"": ""この方の荷物はこの足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 629, ""end"": 646}]",[]
