id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全確認を明確に発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 8, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 58, ""end"": 67}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 9, ""quote"": ""119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 84, ""end"": 97}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 109, ""end"": 123}]",[]
8,戻るよう指示,met,依頼した相手に戻ってくるよう指示している。,"[{""segment_id"": 11, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 138}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 13, ""quote"": ""胸とお腹を見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 150, ""end"": 163}, {""segment_id"": 15, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 183, ""end"": 193}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 14, ""quote"": ""同時に頸動脈を触知して、えー、脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 163, ""end"": 183}, {""segment_id"": 15, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 183, ""end"": 193}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数えている。,"[{""segment_id"": 18, ""quote"": ""123456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 210, ""end"": 243}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか能力を確認している。,"[{""segment_id"": 20, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 266, ""end"": 278}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 23, ""quote"": ""胸骨圧迫を私の代わりに行ってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 311, ""end"": 330}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 24, ""quote"": ""123で交代します。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 333, ""end"": 343}, {""segment_id"": 25, ""quote"": ""123"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 345, ""end"": 348}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲へ離れるよう指示し、その後にショックが実行されている。,"[{""segment_id"": 38, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 512, ""end"": 520}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 46, ""quote"": ""23456789102234567891032345678910"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 599, ""end"": 631}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯や実施した処置を説明している。,"[{""segment_id"": 46, ""quote"": ""あ、救急隊の方、えー、この方ですね、えーと、3分前に目の前で倒れるところを目撃しました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 631, ""end"": 675}, {""segment_id"": 47, ""quote"": ""えーと、胸骨圧迫を行って、AEDで今1回ショックしたんですけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 675, ""end"": 721}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の位置を知らせている。,"[{""segment_id"": 48, ""quote"": ""この方の荷物はこの足元に置いてあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 738, ""end"": 758}]",[]
