id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全確認を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御を考慮する旨を発言している。,"[{""segment_id"": 1, ""quote"": ""感染防御考慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 23}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 2, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 24, ""end"": 45}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 3, ""quote"": ""誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 54}]",[]
6,119番通報の指示,met,他者へ119番通報を指示している。,"[{""segment_id"": 4, ""quote"": ""あなた、119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 54, ""end"": 71}]",[]
7,AED持参の指示,met,他者へAED持参を指示している。,"[{""segment_id"": 5, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 71, ""end"": 89}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 6, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 89, ""end"": 104}]",[]
9,呼吸の確認,not_detected,呼吸の確認に関する発言が検出されない。,[],[]
10,脈の確認,not_detected,脈の確認に関する発言が検出されない。,[],[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 7, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 104, ""end"": 167}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか能力を確認している。,"[{""segment_id"": 9, ""quote"": ""あなた、AED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 178, ""end"": 191}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 13, ""quote"": ""私と代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 237, ""end"": 248}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 15, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 251, ""end"": 257}]",[]
15,ショック前の離隔指示,uncertain,離隔指示の発言者が参加者か機器音声か断定できない。,"[{""segment_id"": 27, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 401, ""end"": 409}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 33, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 471, ""end"": 534}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 35, ""quote"": ""あ、救急隊の方、ええと、この方を3分前に倒れるのを目の前で見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 555, ""end"": 589}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで荷物の位置を知らせている。,"[{""segment_id"": 37, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 659, ""end"": 674}]",[]
