id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 3, ""end"": 8}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 9, ""end"": 16}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 17, ""end"": 26}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 27, ""end"": 48}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 48, ""end"": 60}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 60, ""end"": 76}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 76, ""end"": 92}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 92, ""end"": 107}]",[]
9,呼吸の確認,met,呼吸の確認を行っている。,"[{""segment_id"": 9, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 114, ""end"": 119}]",[]
10,脈の確認,met,脈の確認を行っている。,"[{""segment_id"": 9, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 120, ""end"": 124}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 144, ""end"": 207}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認している。,"[{""segment_id"": 15, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 229, ""end"": 241}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 268, ""end"": 282}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 282, ""end"": 296}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 296, ""end"": 302}]",[]
15,ショック前の離隔指示,uncertain,ショック前に他者に離れるよう指示している。,"[{""segment_id"": 31, ""quote"": ""体から離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 437, ""end"": 448}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 40, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 534, ""end"": 597}]",[]
17,救急隊への経緯説明,met,救急隊に経緯を説明している。,"[{""segment_id"": 41, ""quote"": ""あ、救急隊の方、この方が3分前に目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 597, ""end"": 627}, {""segment_id"": 42, ""quote"": ""胸骨圧迫とAEDで1回ショックしましたが、意識はまだ戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 627, ""end"": 661}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在を伝えている。,"[{""segment_id"": 43, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 661, ""end"": 676}]",[]
