id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,「大丈夫ですか」と傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,「誰か来てください」と周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か、誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 60}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番通報お願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 76}]",[]
7,AED持参の指示,met,他者に対してAEDを持ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAED持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 92}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 93, ""end"": 107}]",[]
9,呼吸の確認,met,呼吸の確認を行い、「呼吸、脈ありません」と結果を述べている。,"[{""segment_id"": 10, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 108, ""end"": 121}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 130, ""end"": 139}]",[]
10,脈の確認,met,脈の確認を行い、「呼吸、脈ありません」と結果を述べている。,"[{""segment_id"": 10, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 122, ""end"": 129}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 130, ""end"": 139}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の開始とともに数唱を行っている。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 150, ""end"": 212}]",[]
12,AED使用能力の確認,met,AED持参者に対してAEDが使えるか能力を確認している。,"[{""segment_id"": 16, ""quote"": ""あなたAED使えますか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 239, ""end"": 251}]",[]
13,胸骨圧迫交代の依頼,met,持参者に胸骨圧迫を代わるよう依頼している。,"[{""segment_id"": 19, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 281, ""end"": 294}]",[]
14,合図による交代,met,「1、2、3で代わりましょう」「1、2、3」と合図を出して交代している。,"[{""segment_id"": 20, ""quote"": ""1、2、3で代わりましょう"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 295, ""end"": 308}, {""segment_id"": 21, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 309, ""end"": 314}]",[]
15,ショック前の離隔指示,met,参加者がショック前に他者および自身が離れていることを確認・指示し、その後にショックが実行されている。,"[{""segment_id"": 35, ""quote"": ""あなたは離れています"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 473, ""end"": 483}, {""segment_id"": 36, ""quote"": ""みんな離れています"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 484, ""end"": 493}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 41, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 540, ""end"": 602}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や胸骨圧迫・ショック実施の経緯を説明している。,"[{""segment_id"": 44, ""quote"": ""えー、この方、えー、3分前に、えー、目の前に倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 631, ""end"": 664}, {""segment_id"": 45, ""quote"": ""えー、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 665, ""end"": 703}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の存在を知らせている。,"[{""segment_id"": 47, ""quote"": ""足元にこの方の荷物があります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 719, ""end"": 733}]",[]
