id,name,status,reason,evidence,warnings
1,傷病者発見,not_detected,傷病者を発見したことを示す発言が冒頭に見当たらないため。,[],[]
2,周囲の安全,met,周囲の安全を確認する発言があるため。,"[{""segment_id"": 2, ""quote"": ""周囲の安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 3, ""end"": 11}]",[]
3,感染防御,met,感染防御への配慮を発言しているため。,"[{""segment_id"": 3, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 11, ""end"": 22}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認しているため。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 22, ""end"": 43}]",[]
5,応援を呼ぶ,met,周囲に応援を求めているため。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 43, ""end"": 55}]",[]
6,119番通報の指示,met,他者に119番通報を指示しているため。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 55, ""end"": 71}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示しているため。,"[{""segment_id"": 7, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 71, ""end"": 87}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示しているため。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 87, ""end"": 102}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸なしと発言しているため。,"[{""segment_id"": 9, ""quote"": ""胸とおなかを見て呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 102, ""end"": 115}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 131}]",[]
10,脈の確認,met,脈の確認を行い、脈なしと発言しているため。,"[{""segment_id"": 9, ""quote"": ""脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 116, ""end"": 121}, {""segment_id"": 10, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 131}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱しているため。,"[{""segment_id"": 12, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 141, ""end"": 204}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか確認しているため。,"[{""segment_id"": 15, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 226, ""end"": 238}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼しているため。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 265, ""end"": 279}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代しているため。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 279, ""end"": 293}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 293, ""end"": 299}]",[]
15,ショック前の離隔指示,uncertain,ショック前に周囲に離れるよう指示しているため。,"[{""segment_id"": 31, ""quote"": ""体から離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 418, ""end"": 429}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っているため。,"[{""segment_id"": 40, ""quote"": ""1、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 515, ""end"": 557}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた経緯や処置内容を説明しているため。,"[{""segment_id"": 41, ""quote"": ""あ、救急隊の方、この方が3分前に目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 557, ""end"": 587}, {""segment_id"": 42, ""quote"": ""胸骨圧迫とAEDで1回ショックしましたが、意識はまだ戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 587, ""end"": 621}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の位置を知らせているため。,"[{""segment_id"": 43, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 621, ""end"": 636}]",[]
