id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を考慮する旨を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御を考慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 25, ""end"": 32}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""誰か誰か誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 46, ""end"": 59}]",[]
6,119番通報の指示,met,他者に対して119番通報を具体的に指示している。,"[{""segment_id"": 8, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 59, ""end"": 75}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を指示している。,"[{""segment_id"": 9, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 75, ""end"": 92}]",[]
8,戻るよう指示,met,依頼相手に戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 92, ""end"": 107}]",[]
9,呼吸の確認,met,呼吸の確認を行い、呼吸がない結果を確認している。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 107, ""end"": 121}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 129, ""end"": 139}]",[]
10,脈の確認,met,脈の確認を行い、脈がない結果を確認している。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 121, ""end"": 129}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 129, ""end"": 139}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 15, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 149, ""end"": 212}]",[]
12,AED使用能力の確認,met,AED持参者に使えるかどうか能力を確認している。,"[{""segment_id"": 18, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 239, ""end"": 251}]",[]
13,胸骨圧迫交代の依頼,met,他者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 21, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 288, ""end"": 302}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 22, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 302, ""end"": 316}, {""segment_id"": 23, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""source_role"": ""candidate"", ""start"": 316, ""end"": 322}]",[]
15,ショック前の離隔指示,met,ショック前に離隔指示を発言し、後続に機器によるショック完了の根拠がある。,"[{""segment_id"": 35, ""quote"": ""離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 455, ""end"": 463}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 44, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""source_role"": ""candidate"", ""start"": 535, ""end"": 598}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者発見時からの経緯を説明している。,"[{""segment_id"": 46, ""quote"": ""あ、救急隊の方、この方3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 619, ""end"": 650}, {""segment_id"": 47, ""quote"": ""ええ、胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識が戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 650, ""end"": 689}]",[]
18,荷物の存在を知らせる,met,救急隊に対して荷物の位置を知らせている。,"[{""segment_id"": 48, ""quote"": ""この方の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""source_role"": ""candidate"", ""start"": 704, ""end"": 719}]",[]
