id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認したことを発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 25}]",[]
4,反応の確認,met,傷病者へ呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 46}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 46, ""end"": 61}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 5, ""quote"": ""あなた119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 61, ""end"": 77}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 6, ""quote"": ""あなたAED持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 93}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 93, ""end"": 108}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 116, ""end"": 121}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 8, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 122, ""end"": 129}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 151, ""end"": 232}]",[]
12,AED使用能力の確認,met,持参者にAEDが使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 254, ""end"": 266}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 273, ""end"": 290}]",[]
14,合図による交代,met,合図を出して胸骨圧迫を交代している。,"[{""segment_id"": 21, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 321, ""end"": 327}]",[]
15,ショック前の離隔指示,uncertain,ショック前に離れるよう指示している。,"[{""segment_id"": 24, ""quote"": ""じゃあ離れてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 349, ""end"": 360}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 30, ""quote"": ""1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 410, ""end"": 491}]",[]
17,救急隊への経緯説明,met,救急隊に経緯を説明している。,"[{""segment_id"": 32, ""quote"": ""あ、救急隊の方、この方3分前に目の前で倒れるのを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 512, ""end"": 541}]",[]
18,荷物の存在を知らせる,met,救急隊へ荷物の存在を知らせている。,"[{""segment_id"": 34, ""quote"": ""足元にこの方の荷物あります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 607, ""end"": 621}]",[]
