id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 20}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 28}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 60}]",[]
6,119番通報の指示,met,他者へ119番通報を具体的に指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番に通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 60, ""end"": 77}]",[]
7,AED持参の指示,met,他者へAEDを持ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 77, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの所見を発言している。,"[{""segment_id"": 10, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 115, ""end"": 120}]",[]
10,脈の確認,met,脈の確認および脈なしの所見を発言している。,"[{""segment_id"": 10, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 124, ""end"": 128}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫開始後に回数を数唱している。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 149, ""end"": 212}]",[]
12,AED使用能力の確認,met,AED持参者に使用できるか能力を確認している。,"[{""segment_id"": 15, ""quote"": ""あなたAED使えますか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 225, ""end"": 237}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""あ、じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 238, ""end"": 257}]",[]
14,合図による交代,met,1、2、3の合図で胸骨圧迫の交代を行っている。,"[{""segment_id"": 18, ""quote"": ""じゃあ1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 275, ""end"": 292}, {""segment_id"": 19, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 292, ""end"": 298}]",[]
15,ショック前の離隔指示,uncertain,離隔指示の発言はあるが、機器の定型音声と混在しており参加者による発言か断定できない。,"[{""segment_id"": 31, ""quote"": ""離れてください。"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 442, ""end"": 450}]",[]
16,ショック後の数唱,uncertain,ショック実行後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 37, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 488, ""end"": 551}]","[""数唱の前のショック完了を確認できません""]"
17,救急隊への経緯説明,met,救急隊に対して倒れた時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 38, ""quote"": ""あ、救急隊の方、この人が私3分前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 551, ""end"": 580}, {""segment_id"": 39, ""quote"": ""ええと、胸骨圧迫をしてAEDで1回ショックしたんですけども、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 580, ""end"": 623}]",[]
18,荷物の存在を知らせる,met,救急隊に対して傷病者の荷物の位置を知らせている。,"[{""segment_id"": 40, ""quote"": ""この人の荷物は足元にあります。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 641, ""end"": 656}]",[]
