id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した発言がある。,"[{""segment_id"": 2, ""quote"": ""周囲の安全よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御の確認を発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御よし。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 21}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 21, ""end"": 42}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 5, ""quote"": ""誰か、誰か、誰か来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 42, ""end"": 57}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 6, ""quote"": ""あなた119番通報してください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 73}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""あなたAEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 73, ""end"": 90}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 8, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 90, ""end"": 105}]",[]
9,呼吸の確認,met,呼吸の確認を行い、結果を発言している。,"[{""segment_id"": 9, ""quote"": ""胸とおなかを見て呼吸の確認、同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 105, ""end"": 127}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 133, ""end"": 143}]",[]
10,脈の確認,met,脈の確認を行い、結果を発言している。,"[{""segment_id"": 9, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 119, ""end"": 127}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 133, ""end"": 143}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数えている。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 153, ""end"": 182}]",[]
12,AED使用能力の確認,met,AED持参者に使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 182, ""end"": 194}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 202, ""end"": 219}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 17, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 219, ""end"": 233}, {""segment_id"": 18, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 233, ""end"": 239}]",[]
15,ショック前の離隔指示,met,ショック前に周囲が離れていることを確認・指示し、その後にショックが実行されている。,"[{""segment_id"": 31, ""quote"": ""私離れてます、あなた離れてます、みんな離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 392, ""end"": 417}]",[]
16,ショック後の数唱,met,ショック実行後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 34, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 430, ""end"": 493}]",[]
17,救急隊への経緯説明,met,到着した救急隊に対して状況や実施した処置の経緯を説明している。,"[{""segment_id"": 35, ""quote"": ""あ、救急隊の方ですね。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 493, ""end"": 504}, {""segment_id"": 36, ""quote"": ""えっと、この人が、え、2分前に倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 504, ""end"": 531}, {""segment_id"": 37, ""quote"": ""えっと、AEDで1回ショックをして、まだ、えっと、意識ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 531, ""end"": 564}]",[]
18,荷物の存在を知らせる,not_detected,救急隊に傷病者の荷物の存在を知らせる発言は確認できない。,[],[]
