id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 6}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 2, ""quote"": ""周囲は安全です。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 14}]",[]
3,感染防御,met,感染防御を考慮することを発言している。,"[{""segment_id"": 3, ""quote"": ""感染防御考慮します。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,met,「大丈夫ですか？」と呼びかけ、反応を確認している。,"[{""segment_id"": 4, ""quote"": ""大丈夫ですか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 24, ""end"": 31}]",[]
5,応援を呼ぶ,met,「手袋来てください」等、周囲に応援を求めている。,"[{""segment_id"": 7, ""quote"": ""手袋の方、手袋来てください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 59}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 8, ""quote"": ""あなた、119番通報お願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 59, ""end"": 76}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 9, ""quote"": ""あなた、AEDを持ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 76, ""end"": 94}]",[]
8,戻るよう指示,met,依頼した相手に戻ってくるよう指示している。,"[{""segment_id"": 10, ""quote"": ""必ずここに戻ってきてください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 94, ""end"": 109}]",[]
9,呼吸の確認,met,呼吸の確認を行い、「呼吸、脈ありません」と結果を述べている。,"[{""segment_id"": 11, ""quote"": ""胸とおなかを見て呼吸の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 109, ""end"": 123}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 131, ""end"": 141}]",[]
10,脈の確認,met,脈の確認を行い、「呼吸、脈ありません」と結果を述べている。,"[{""segment_id"": 12, ""quote"": ""同時に脈の確認。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 123, ""end"": 131}, {""segment_id"": 13, ""quote"": ""呼吸、脈ありません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 131, ""end"": 141}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の開始後に数唱を行っている。,"[{""segment_id"": 15, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 151, ""end"": 214}]",[]
12,AED使用能力の確認,met,AED持参者に「AED使えますか？」と能力を確認している。,"[{""segment_id"": 17, ""quote"": ""あなた、AED使えますか？"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 225, ""end"": 238}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 18, ""quote"": ""胸骨圧迫を代わってください。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 252, ""end"": 266}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 19, ""quote"": ""1、2、3で代わりましょう。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 266, ""end"": 280}, {""segment_id"": 20, ""quote"": ""1、2、3。"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 280, ""end"": 286}]",[]
15,ショック前の離隔指示,uncertain,ショック前に他者や周囲の離隔確認・指示を行っている。,"[{""segment_id"": 33, ""quote"": ""あなたは離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 432, ""end"": 442}, {""segment_id"": 34, ""quote"": ""みんな離れてます。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 442, ""end"": 451}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 39, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10。"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 490, ""end"": 553}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 41, ""quote"": ""この方、3分前に目の前で倒れるところを見ました。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 561, ""end"": 585}, {""segment_id"": 42, ""quote"": ""胸骨圧迫をしてAED 1回ショックしましたが、まだ意識は戻っていません。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 585, ""end"": 621}]",[]
18,荷物の存在を知らせる,met,救急隊に傷病者の荷物の存在と場所を知らせている。,"[{""segment_id"": 43, ""quote"": ""この方の荷物、その足元にありますのでよろしくお願いします。"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 638, ""end"": 667}]",[]
