id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全確認を明確に発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御への配慮を明確に発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に配慮します"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 24}]",[]
4,反応の確認,not_detected,傷病者への呼びかけなど、反応を確認する発言が検出されない。,[],[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 3, ""quote"": ""誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 25, ""end"": 36}]",[]
6,119番通報の指示,met,他者に119番通報を指示している。,"[{""segment_id"": 4, ""quote"": ""あなたは119番通報してください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 40, ""end"": 56}]",[]
7,AED持参の指示,met,他者にAEDを持ってくるよう指示している。,"[{""segment_id"": 5, ""quote"": ""あなたはAEDを持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 57, ""end"": 74}]",[]
8,戻るよう指示,met,依頼した相手に戻るよう明確に指示している。,"[{""segment_id"": 6, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 75, ""end"": 89}]",[]
9,呼吸の確認,met,呼吸の確認を発言している。,"[{""segment_id"": 7, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 97, ""end"": 102}]",[]
10,脈の確認,met,脈の確認を発言している。,"[{""segment_id"": 7, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 103, ""end"": 107}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数えている。,"[{""segment_id"": 10, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 128, ""end"": 190}]",[]
12,AED使用能力の確認,met,持参者にAEDを使えるか能力を確認している。,"[{""segment_id"": 13, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 216, ""end"": 227}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 15, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 251, ""end"": 264}]",[]
14,合図による交代,met,合図により胸骨圧迫を交代している。,"[{""segment_id"": 17, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 277, ""end"": 282}]",[]
15,ショック前の離隔指示,uncertain,充電中前後の離隔指示が機器音声か参加者か確定できない。,"[{""segment_id"": 29, ""quote"": ""離れてください"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 431, ""end"": 438}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 36, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 491, ""end"": 553}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者の発見時や実施した処置の経緯を説明している。,"[{""segment_id"": 37, ""quote"": ""あ、救急隊の方、この方、えー、3分前に倒れるところを目撃しました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 554, ""end"": 586}]",[]
18,荷物の存在を知らせる,met,救急隊への引き継ぎで傷病者の荷物の存在を伝えている。,"[{""segment_id"": 39, ""quote"": ""この方の荷物は足元にあります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 663, ""end"": 677}]",[]
