id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲安全です"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 12}]",[]
3,感染防御,met,感染防御を確認する発言を行っている。,"[{""segment_id"": 2, ""quote"": ""感染防御よし"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 13, ""end"": 19}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 20, ""end"": 27}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 6, ""quote"": ""誰か、誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 44, ""end"": 58}]",[]
6,119番通報の指示,met,119番通報を具体的に指示している。,"[{""segment_id"": 7, ""quote"": ""あなた119番通報してください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 59, ""end"": 74}]",[]
7,AED持参の指示,met,AEDを持ってくるよう指示している。,"[{""segment_id"": 8, ""quote"": ""あなたAEDを持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 75, ""end"": 91}]",[]
8,戻るよう指示,met,依頼相手に戻るよう指示している。,"[{""segment_id"": 9, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 92, ""end"": 106}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸なしの結果を発言している。,"[{""segment_id"": 10, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 115, ""end"": 120}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 138}]",[]
10,脈の確認,met,脈の確認および脈なしの結果を発言している。,"[{""segment_id"": 10, ""quote"": ""脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 124, ""end"": 128}, {""segment_id"": 11, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 138}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫の回数を数唱している。,"[{""segment_id"": 13, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 149, ""end"": 211}]",[]
12,AED使用能力の確認,met,AEDを使えるか能力の確認を行っている。,"[{""segment_id"": 15, ""quote"": ""あなたAED使えますか?"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 223, ""end"": 235}]",[]
13,胸骨圧迫交代の依頼,met,胸骨圧迫の交代を依頼している。,"[{""segment_id"": 17, ""quote"": ""胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 257, ""end"": 270}]",[]
14,合図による交代,met,数字の合図で胸骨圧迫の交代を行っている。,"[{""segment_id"": 18, ""quote"": ""1、2、3で代わります"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 271, ""end"": 282}, {""segment_id"": 19, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 283, ""end"": 288}]",[]
15,ショック前の離隔指示,uncertain,充電前後の離隔指示について、AEDの自動音声か参加者の発言か区別が確定できない。,"[{""segment_id"": 30, ""quote"": ""離れてください"", ""role"": ""unknown"", ""kind"": ""call"", ""start"": 423, ""end"": 430}]",[]
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 40, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 534, ""end"": 596}]",[]
17,救急隊への経緯説明,met,救急隊に対して傷病者発見時の状況や実施した処置の経緯を説明している。,"[{""segment_id"": 41, ""quote"": ""あ、救急隊の方、この方、ええ、3分前に目の前で倒れるところを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 597, ""end"": 631}, {""segment_id"": 42, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたが、まだ意識は戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 632, ""end"": 667}]",[]
18,荷物の存在を知らせる,met,救急隊に対して荷物が足元にあることを伝えている。,"[{""segment_id"": 43, ""quote"": ""荷物は足元にあります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 693, ""end"": 703}]",[]
