id,name,status,reason,evidence,warnings
1,傷病者発見,met,傷病者を発見したことを明確に発言している。,"[{""segment_id"": 1, ""quote"": ""傷病者発見"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 0, ""end"": 5}]",[]
2,周囲の安全,met,周囲の安全を確認した旨を発言している。,"[{""segment_id"": 1, ""quote"": ""周囲の安全です"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 6, ""end"": 13}]",[]
3,感染防御,met,感染防御を行う旨を発言している。,"[{""segment_id"": 2, ""quote"": ""感染防御に入ります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 14, ""end"": 23}]",[]
4,反応の確認,met,傷病者に呼びかけて反応を確認している。,"[{""segment_id"": 3, ""quote"": ""大丈夫ですか、大丈夫ですか、大丈夫ですか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 24, ""end"": 44}]",[]
5,応援を呼ぶ,met,周囲に応援を求めている。,"[{""segment_id"": 4, ""quote"": ""誰か、誰か、誰か来てください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 45, ""end"": 59}]",[]
6,119番通報の指示,met,他者に対して119番通報を指示している。,"[{""segment_id"": 5, ""quote"": ""あなた119番通報お願いします"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 60, ""end"": 75}]",[]
7,AED持参の指示,met,他者に対してAEDの持参を指示している。,"[{""segment_id"": 6, ""quote"": ""あなたAED持ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 76, ""end"": 91}]",[]
8,戻るよう指示,met,依頼した相手に戻ってくるよう指示している。,"[{""segment_id"": 7, ""quote"": ""必ずここに戻ってきてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 92, ""end"": 106}]",[]
9,呼吸の確認,met,呼吸の確認および呼吸がないことを確認している。,"[{""segment_id"": 8, ""quote"": ""呼吸の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 115, ""end"": 120}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 138}]",[]
10,脈の確認,met,脈の確認および脈がないことを確認している。,"[{""segment_id"": 8, ""quote"": ""同時に脈の確認"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 121, ""end"": 128}, {""segment_id"": 9, ""quote"": ""呼吸、脈ありません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 129, ""end"": 138}]",[]
11,胸骨圧迫の数唱,met,胸骨圧迫中に回数を数唱している。,"[{""segment_id"": 11, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3、4、5、6、7、8、9、10"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 150, ""end"": 212}]",[]
12,AED使用能力の確認,met,持参者にAEDを使えるか能力を確認している。,"[{""segment_id"": 14, ""quote"": ""あなたAED使えますか"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 235, ""end"": 246}]",[]
13,胸骨圧迫交代の依頼,met,AED持参者に胸骨圧迫の交代を依頼している。,"[{""segment_id"": 16, ""quote"": ""じゃあ胸骨圧迫を代わってください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 254, ""end"": 270}]",[]
14,合図による交代,uncertain,引き継ぎ時の合図があるが、胸骨圧迫の交代合図であるかが確定できない。,"[{""segment_id"": 34, ""quote"": ""1、2、3"", ""role"": ""participant"", ""kind"": ""handoff"", ""start"": 556, ""end"": 561}]",[]
15,ショック前の離隔指示,uncertain,ショック前に参加者自身が離れるよう指示している。,"[{""segment_id"": 22, ""quote"": ""離れてください"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 312, ""end"": 319}]","[""近接するAED案内と参加者の離隔指示を区別できません""]"
16,ショック後の数唱,met,ショック完了後に胸骨圧迫の数唱を行っている。,"[{""segment_id"": 28, ""quote"": ""1、2、3、4、5、6、7、8、9、10、2、2、3、4、5、6、7、8、9、10、3、2、3"", ""role"": ""participant"", ""kind"": ""count"", ""start"": 370, ""end"": 417}]",[]
17,救急隊への経緯説明,met,救急隊に対して倒れた状況や処置の経緯を説明している。,"[{""segment_id"": 30, ""quote"": ""救急隊の方が、この方3分前に目の前で倒れるのを見ました"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 441, ""end"": 468}, {""segment_id"": 31, ""quote"": ""胸骨圧迫をしてAEDで1回ショックしましたけども、ええと、まだ意識戻っていません"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 473, ""end"": 513}]",[]
18,荷物の存在を知らせる,met,傷病者の荷物の存在を救急隊に知らせている。,"[{""segment_id"": 32, ""quote"": ""足元にこの方の荷物あります"", ""role"": ""participant"", ""kind"": ""call"", ""start"": 535, ""end"": 548}]",[]
